query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,target_score
натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://lemanapro.ru/uslugi/gotovye-resheniya-pod-klyuch/natyazhnye-potolki-na-zakaz/,lemanapro.ru,7,0,,,content,failed,Browser rendering did not produce usable content,33.3333
натяжные потолки Казань,натяжные потолки,commercial,Казань,43,https://www.abbakazan.ru/,abbakazan.ru,8,0,,,homepage,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.abbakazan.ru/"", waiting until ""domcontentloaded""
",22.2222
натяжные потолки Казань,натяжные потолки,commercial,Казань,43,https://potolokkazan.ru/,potolokkazan.ru,10,0,,,homepage,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://potolokkazan.ru/"", waiting until ""domcontentloaded""
",0.0
пластиковые окна Москва,пластиковые окна,commercial,Москва,213,https://www.mosokna.ru/,mosokna.ru,2,0,,,homepage,failed,"Page.goto: net::ERR_SSL_PROTOCOL_ERROR at https://www.mosokna.ru/
Call log:
  - navigating to ""https://www.mosokna.ru/"", waiting until ""domcontentloaded""
",88.8889
пластиковые окна Новосибирск,пластиковые окна,commercial,Новосибирск,65,https://novosibirsk.lemanapro.ru/catalogue/plastikovye-okna/,novosibirsk.lemanapro.ru,8,0,,,product,failed,Browser rendering did not produce usable content,22.2222
входные двери Москва,входные двери,commercial,Москва,213,https://lemanapro.ru/catalogue/vhodnye-dveri/,lemanapro.ru,1,0,,,product,failed,Browser rendering did not produce usable content,100.0
входные двери Санкт-Петербург,входные двери,commercial,Санкт-Петербург,2,https://www.dverishop.ru/,dverishop.ru,5,0,,,homepage,failed,"Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://www.dverishop.ru/
Call log:
  - navigating to ""https://www.dverishop.ru/"", waiting until ""domcontentloaded""
",55.5556
входные двери Санкт-Петербург,входные двери,commercial,Санкт-Петербург,2,https://guardian-spb.ru/,guardian-spb.ru,8,0,,,homepage,failed,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://guardian-spb.ru/
Call log:
  - navigating to ""https://guardian-spb.ru/"", waiting until ""domcontentloaded""
",22.2222
входные двери Санкт-Петербург,входные двери,commercial,Санкт-Петербург,2,https://slavnie.ru/catalog/vkhodnye_dveri/,slavnie.ru,9,0,,,product,failed,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://slavnie.ru/catalog/vkhodnye_dveri/
Call log:
  - navigating to ""https://slavnie.ru/catalog/vkhodnye_dveri/"", waiting until ""domcontentloaded""
",11.1111
входные двери Санкт-Петербург,входные двери,commercial,Санкт-Петербург,2,https://www.mk-doors.ru/dveri/vhodnye-dveri/,mk-doors.ru,10,0,,,content,failed,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.mk-doors.ru/dveri/vhodnye-dveri/
Call log:
  - navigating to ""https://www.mk-doors.ru/dveri/vhodnye-dveri/"", waiting until ""domcontentloaded""
",0.0
