query,category,intent,city,region_code,top_n,pages_to_scan
натяжные потолки Москва,натяжные потолки,commercial,Москва,213,10,1
натяжные потолки Санкт-Петербург,натяжные потолки,commercial,Санкт-Петербург,2,10,1
натяжные потолки Екатеринбург,натяжные потолки,commercial,Екатеринбург,54,10,1
натяжные потолки Новосибирск,натяжные потолки,commercial,Новосибирск,65,10,1
натяжные потолки Казань,натяжные потолки,commercial,Казань,43,10,1
натяжные потолки Краснодар,натяжные потолки,commercial,Краснодар,35,10,1
натяжные потолки Самара,натяжные потолки,commercial,Самара,51,10,1
натяжные потолки Нижний Новгород,натяжные потолки,commercial,Нижний Новгород,47,10,1
пластиковые окна Москва,пластиковые окна,commercial,Москва,213,10,1
пластиковые окна Санкт-Петербург,пластиковые окна,commercial,Санкт-Петербург,2,10,1
пластиковые окна Екатеринбург,пластиковые окна,commercial,Екатеринбург,54,10,1
пластиковые окна Новосибирск,пластиковые окна,commercial,Новосибирск,65,10,1
пластиковые окна Казань,пластиковые окна,commercial,Казань,43,10,1
пластиковые окна Краснодар,пластиковые окна,commercial,Краснодар,35,10,1
пластиковые окна Самара,пластиковые окна,commercial,Самара,51,10,1
пластиковые окна Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,10,1
входные двери Москва,входные двери,commercial,Москва,213,10,1
входные двери Санкт-Петербург,входные двери,commercial,Санкт-Петербург,2,10,1
входные двери Екатеринбург,входные двери,commercial,Екатеринбург,54,10,1
входные двери Новосибирск,входные двери,commercial,Новосибирск,65,10,1
входные двери Казань,входные двери,commercial,Казань,43,10,1
входные двери Краснодар,входные двери,commercial,Краснодар,35,10,1
входные двери Самара,входные двери,commercial,Самара,51,10,1
входные двери Нижний Новгород,входные двери,commercial,Нижний Новгород,47,10,1
кухни на заказ Москва,кухни на заказ,commercial,Москва,213,10,1
кухни на заказ Санкт-Петербург,кухни на заказ,commercial,Санкт-Петербург,2,10,1
кухни на заказ Екатеринбург,кухни на заказ,commercial,Екатеринбург,54,10,1
кухни на заказ Новосибирск,кухни на заказ,commercial,Новосибирск,65,10,1
кухни на заказ Казань,кухни на заказ,commercial,Казань,43,10,1
кухни на заказ Краснодар,кухни на заказ,commercial,Краснодар,35,10,1
кухни на заказ Самара,кухни на заказ,commercial,Самара,51,10,1
кухни на заказ Нижний Новгород,кухни на заказ,commercial,Нижний Новгород,47,10,1
шкафы-купе Москва,шкафы-купе,commercial,Москва,213,10,1
шкафы-купе Санкт-Петербург,шкафы-купе,commercial,Санкт-Петербург,2,10,1
шкафы-купе Екатеринбург,шкафы-купе,commercial,Екатеринбург,54,10,1
шкафы-купе Новосибирск,шкафы-купе,commercial,Новосибирск,65,10,1
шкафы-купе Казань,шкафы-купе,commercial,Казань,43,10,1
шкафы-купе Краснодар,шкафы-купе,commercial,Краснодар,35,10,1
шкафы-купе Самара,шкафы-купе,commercial,Самара,51,10,1
шкафы-купе Нижний Новгород,шкафы-купе,commercial,Нижний Новгород,47,10,1
ремонт квартир Москва,ремонт квартир,commercial,Москва,213,10,1
