query,url,expert_target_score,label_source,labeler,notes
входные двери Екатеринбург,https://ekaterinburg.mall-of-doors.ru/,88.0,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=6; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери Екатеринбург,https://ekaterinburg.lemanapro.ru/catalogue/vhodnye-dveri/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=product; rank=8; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
входные двери Казань,https://kazan.dverimagnat.ru/,86.4,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=5; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери Казань,https://mirdverey-kazan.ru/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=homepage; rank=1; strengths=none; risks=thin_content|low_keyword_coverage
входные двери Краснодар,https://modern-dveri.ru/catalog/vkhodnye-dveri/,87.1,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=product; rank=6; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери Краснодар,https://krasnodar.lemanapro.ru/catalogue/vhodnye-dveri/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=product; rank=3; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
входные двери Москва,https://100-dverei.ru/,89.7,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=2; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери Москва,https://lemanapro.ru/catalogue/vhodnye-dveri/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=product; rank=1; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
входные двери Нижний Новгород,https://nigny-novgorod.dverimagnat.ru/,84.5,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=6; strengths=deep_content|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери Нижний Новгород,https://nn-dveri.ru/,38.4,expert_rubric_v1,builder_d32_rubric_v1,band=20-49 weak; page_type=homepage; rank=8; strengths=semantic_match|query_terms_covered|technical_seo_ok; risks=thin_content
входные двери Новосибирск,https://novosibirsk.dverimagnat.ru/,89.2,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=1; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери Новосибирск,https://centurion-door.ru/,72.7,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=homepage; rank=7; strengths=query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери Самара,https://samara.dverimagnat.ru/,90.7,expert_rubric_v1,builder_d32_rubric_v1,band=90-100 strong; page_type=homepage; rank=1; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
входные двери Самара,https://samara.lemanapro.ru/catalogue/vhodnye-dveri/,0.0,expert_rubric_v1,builder_d32_rubric_v1,band=0-19 irrelevant_or_broken; page_type=product; rank=2; strengths=none; risks=thin_content|weak_semantic_match|low_keyword_coverage|weak_commercial_trust
входные двери Санкт-Петербург,https://spb.mall-of-doors.ru/catalog/dveri-v-dom/,88.8,expert_rubric_v1,builder_d32_rubric_v1,band=70-89 usable; page_type=product; rank=9; strengths=deep_content|semantic_match|query_terms_covered|commercial_trust_signals|technical_seo_ok; risks=none
