dataset_version,feature_schema_version,extraction_artifact_version,label_schema_version,label_source,weak_target_score,expert_target_score,query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,artifact_path,artifact_sha1,artifact_size_bytes,target_score,text_length_chars,html_length_chars,word_count,unique_word_count,unique_word_ratio,avg_word_length,sentence_count,avg_sentence_length,paragraph_count,h1_count,h2_count,h3_count,heading_count,title_present,title_length,meta_description_present,meta_description_length,query_in_title,query_in_text,exact_query_count,query_term_count,title_query_term_count,meta_query_term_count,title_keyword_coverage_ratio,meta_keyword_coverage_ratio,query_terms_in_headings,heading_query_coverage_ratio,first_200_words_query_term_count,query_density,keyword_coverage_ratio,link_count,image_count,list_item_count,strong_tag_count,form_count,input_count,inputs_per_form_ratio,avg_paragraph_length,link_density_per_1000_words,image_density_per_1000_words,list_density_per_1000_words,strong_density_per_1000_words,text_to_html_ratio,semantic_similarity,early_query_coverage_ratio,conversion_signal_score,content_link_ratio,heading_paragraph_balance,query_semantic_alignment,title_semantic_alignment,heading_semantic_alignment,title_heading_keyword_alignment,content_depth_semantic_score,query_prominence_score,title_length_quality,meta_length_quality,keyword_balance_score,semantic_content_richness,cta_semantic_score,http_status_code,http_status_ok,redirect_count,has_redirect,canonical_present,canonical_matches_final_url,meta_robots_present,x_robots_tag_present,robots_noindex,robots_nofollow,page_indexable,viewport_present,lang_present,hreflang_count,hreflang_present,url_depth,url_parameter_count,url_has_query_parameters,redirect_efficiency_score,url_hygiene_score,technical_metadata_score,canonical_signal_score,technical_seo_score,phone_present,phone_count,email_present,address_present,business_hours_present,price_present,currency_present,delivery_info_present,payment_info_present,warranty_info_present,returns_info_present,reviews_present,rating_present,faq_present,cta_present,cta_count,messenger_present,value_proposition_present,legal_requisites_present,company_identity_present,contact_options_score,commercial_signal_count,trust_signal_count,commercial_signals_score,trust_signals_score,commercial_trust_score,heavy_analysis_available,heavy_analysis_overall_score,structured_data_json_ld_count,structured_data_valid_json_ld_count,structured_data_malformed_json_ld_count,structured_data_schema_type_count,structured_data_business_schema_present,structured_data_offer_schema_present,structured_data_faq_schema_present,structured_data_breadcrumb_schema_present,structured_data_score,mobile_viewport_present,mobile_readiness_score,rendering_browser_fetch_used,rendering_js_dependency_risk,rendering_text_html_ratio,rendering_score,performance_html_size_kb,performance_dom_node_count,performance_script_count,performance_stylesheet_count,performance_image_count,performance_response_time_ms,performance_resource_complexity_score,performance_proxy_score,intent_is_commercial,intent_is_local_commercial,intent_is_informational,intent_is_navigational,intent_confidence,query_local_modifier,commercial_intent_score,local_intent_score,informational_intent_score,navigational_intent_score,commercial_intent_alignment,local_intent_alignment,informational_intent_alignment,navigational_intent_alignment,intent_alignment_score
dataset-v3-d37,v3,extraction-v2,hybrid-v1,weak_serp,100.0,,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://www.potolkoff.ru/,potolkoff.ru,1,0,,,homepage,ok,,..\dataset-v2\artifacts\query--cb9d1ab195e97c39.json,4eb0d0473dfbc5ddbc5b3440ab33e692a7ef95ad,981729,100.0,44967.0,698004.0,6459.0,1545.0,0.23920111472364142,5.7331,604.0,10.6937,287.0,1.0,16.0,2.0,19.0,1.0,74.0,1.0,292.0,0.0,1.0,2.0,171.0,2.0,2.0,0.666667,0.666667,7.0,0.666667,5.0,0.026475,1.0,740.0,368.0,559.0,21.0,10.0,98.0,9.8,22.5052,114.568819,56.974764,86.545905,3.251277,0.064422,0.0,1.0,1.0,8.728378,0.066202,0.0,0.0,0.0,0.444444,0.0,0.8,0.654545,0.0,0.88249,0.0,0.0,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,0.567202,14.0,19.0,0.0,9.0,1.0,0.0,1.0,1.0,0.85,1.0,0.91,1.0,0.718153,0.064422,0.281847,730.6328,5013.0,45.0,16.0,368.0,12599.4363,0.085947,0.22696,0.0,0.0,0.0,0.0,0.583333,1.0,0.0,0.583333,0.0,0.0,0.5845,0.703,0.3845,0.5435,0.455
dataset-v3-d37,v3,extraction-v2,hybrid-v1,hybrid,94.7368,90.1,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://rumexpert.ru/,rumexpert.ru,2,0,,,homepage,ok,,..\dataset-v2\artifacts\query--26ce9d5e17250f12.json,51f62402faad6124ff5910cb51bd4562d274e4bc,283641,91.491,15855.0,181061.0,2170.0,878.0,0.4046082949308756,6.188,102.0,21.2745,303.0,7.0,19.0,25.0,51.0,1.0,84.0,1.0,255.0,1.0,1.0,1.0,51.0,3.0,2.0,1.0,0.666667,26.0,0.666667,6.0,0.023502,1.0,221.0,237.0,46.0,0.0,4.0,41.0,10.25,7.1617,101.843318,109.21659,21.198157,0.0,0.087567,0.525242,1.0,1.0,9.819005,0.168317,0.525242,0.525242,0.350161,0.666667,0.525242,0.916667,0.472727,0.241379,0.78341,0.212517,0.525242,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,0.777778,0.888889,0.888889,1.0,0.514743,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.91,1.0,0.367143,0.087567,0.632857,195.7666,2046.0,13.0,5.0,237.0,5063.3564,0.471486,0.516115,0.0,0.0,0.0,0.0,0.583333,1.0,0.0,0.583333,0.0,0.0,0.758531,0.829442,0.606053,0.748329,0.724911
dataset-v3-d37,v3,extraction-v2,hybrid-v1,weak_serp,89.4737,,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://100potolkov.ru/,100potolkov.ru,3,0,,,homepage,ok,,..\dataset-v2\artifacts\query--b3b66bcb0a7c56b2.json,ffc1feae0b97026b14c45d417ae06d66d104ec20,314215,89.4737,20168.0,183897.0,3140.0,1069.0,0.34044585987261144,5.2783,182.0,17.2527,37.0,1.0,14.0,0.0,15.0,1.0,74.0,1.0,148.0,0.0,0.0,0.0,91.0,2.0,2.0,0.666667,0.666667,2.0,0.666667,3.0,0.028981,1.0,498.0,86.0,383.0,4.0,2.0,27.0,13.5,84.8649,158.598726,27.388535,121.974522,1.273885,0.10967,0.0,1.0,1.0,6.305221,0.405405,0.0,0.0,0.0,0.444444,0.0,0.8,0.654545,0.97931,0.96603,0.0,0.0,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,0.8,8.0,8.0,0.888889,0.888889,0.859259,1.0,0.447678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.91,1.0,0.547143,0.10967,0.452857,196.3721,2748.0,27.0,9.0,86.0,3859.6358,0.353808,0.427856,0.0,0.0,0.0,0.0,0.583333,1.0,0.0,0.583333,0.0,0.0,0.5445,0.663,0.3845,0.5235,0.455
dataset-v3-d37,v3,extraction-v2,hybrid-v1,weak_serp,84.2105,,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://potolki-nova.ru/,potolki-nova.ru,4,0,,,homepage,ok,,..\dataset-v2\artifacts\query--6be4a71bbba46016.json,1df38834f51af12b84917eaf48461dd628cd25c4,503634,84.2105,22899.0,311992.0,3393.0,1179.0,0.34748010610079577,5.634,130.0,26.1,25.0,1.0,4.0,3.0,8.0,1.0,49.0,1.0,256.0,0.0,1.0,2.0,113.0,2.0,3.0,0.666667,1.0,9.0,1.0,12.0,0.033304,1.0,635.0,272.0,439.0,124.0,8.0,27.0,3.375,135.72,187.150015,80.165046,129.384026,36.54583,0.073396,0.0,1.0,1.0,5.343307,0.32,0.0,0.0,0.0,0.666667,0.0,0.883333,0.890909,0.234483,0.889871,0.0,0.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.75,0.85,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,23.0,1.0,1.0,1.0,1.0,1.0,9.0,8.0,1.0,0.888889,0.962963,1.0,0.552194,3.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.6625,1.0,0.91,1.0,0.678892,0.073396,0.321108,329.1865,3218.0,38.0,27.0,272.0,4585.606,0.203559,0.315169,0.0,0.0,0.0,0.0,0.583333,1.0,0.0,0.583333,0.0,0.0,0.579625,0.695625,0.379625,0.512208,0.422083
dataset-v3-d37,v3,extraction-v2,hybrid-v1,weak_serp,78.9474,,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://masterpotolkov.com/,masterpotolkov.com,5,0,,,homepage,ok,,..\dataset-v2\artifacts\query--1f7e54f82eaa404f.json,e87bd685d90984c63bffcf10dfe7e3298cec48e9,338122,78.9474,12834.0,224276.0,1782.0,816.0,0.45791245791245794,6.0269,90.0,19.8,9.0,1.0,8.0,5.0,14.0,1.0,76.0,1.0,246.0,0.0,0.0,0.0,18.0,2.0,2.0,0.666667,0.666667,3.0,0.666667,6.0,0.010101,1.0,290.0,131.0,214.0,10.0,6.0,80.0,13.333333,198.0,162.738496,73.512907,120.089787,5.611672,0.057224,0.529613,1.0,1.0,6.144828,1.555556,0.529613,0.353075,0.353075,0.444444,0.529613,0.8,0.618182,0.303448,0.3367,0.240091,0.529613,200.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.95,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,0.8,8.0,7.0,0.888889,0.777778,0.822222,1.0,0.388266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.91,1.0,0.749644,0.057224,0.250356,232.3018,1868.0,53.0,8.0,131.0,10572.2397,0.306943,0.392707,0.0,0.0,0.0,0.0,0.583333,1.0,0.0,0.583333,0.0,0.0,0.73898,0.737898,0.65016,0.70973,0.679576
dataset-v3-d37,v3,extraction-v2,hybrid-v1,weak_serp,73.6842,,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://7nebo-nf.ru/,7nebo-nf.ru,6,0,,,homepage,ok,,..\dataset-v2\artifacts\query--5113a67e73a7dc8f.json,3a5a5a202f8d96c299af575dec7a5faa97c51977,471038,73.6842,17336.0,334696.0,2541.0,816.0,0.32113341204250295,5.6946,152.0,16.7171,22.0,1.0,10.0,9.0,20.0,1.0,115.0,1.0,150.0,0.0,0.0,0.0,34.0,2.0,2.0,0.666667,0.666667,6.0,0.666667,5.0,0.013381,1.0,435.0,130.0,378.0,0.0,7.0,72.0,10.285714,115.5,171.192444,51.16096,148.760331,0.0,0.051796,0.619515,1.0,1.0,5.841379,0.909091,0.619515,0.41301,0.41301,0.444444,0.619515,0.8,0.0,0.965517,0.446019,0.198947,0.619515,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,0.888889,1.0,0.962963,1.0,0.60507,2.0,5.0,0.0,4.0,1.0,0.0,1.0,0.0,0.8,1.0,0.91,1.0,0.64482,0.051796,0.35518,342.5117,2763.0,25.0,18.0,130.0,8471.4687,0.256798,0.355098,0.0,0.0,0.0,0.0,0.583333,1.0,0.0,0.583333,0.0,0.0,0.796818,0.853123,0.690253,0.765818,0.733782
dataset-v3-d37,v3,extraction-v2,hybrid-v1,hybrid,68.4211,70.4,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://potolok24moscow.ru/,potolok24moscow.ru,7,0,,,homepage,ok,,..\dataset-v2\artifacts\query--b0d0a8818f483c58.json,68a505c284a9398cbeed9a3954c198ba5d930f0c,396118,69.8063,10587.0,344349.0,1516.0,545.0,0.35949868073878627,5.7757,36.0,42.1111,20.0,5.0,0.0,2.0,7.0,1.0,65.0,1.0,127.0,0.0,0.0,0.0,64.0,2.0,0.0,0.666667,0.0,6.0,0.666667,26.0,0.042216,0.666667,66.0,60.0,106.0,7.0,3.0,70.0,23.333333,75.8,43.53562,39.577836,69.920844,4.617414,0.030745,0.67867,1.0,1.0,22.969697,0.35,0.452447,0.452447,0.452447,0.444444,0.67867,0.75,0.818182,0.875862,0.395192,0.205486,0.67867,200.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.7,1.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,15.0,1.0,1.0,1.0,1.0,0.6,5.0,6.0,0.555556,0.666667,0.607407,1.0,0.339008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.91,1.0,0.865491,0.030745,0.134509,345.7773,1902.0,62.0,135.0,60.0,5050.4234,0.198698,0.311524,0.0,0.0,0.0,0.0,0.583333,1.0,0.0,0.583333,0.0,0.0,0.634301,0.606434,0.573253,0.617124,0.61129
dataset-v3-d37,v3,extraction-v2,hybrid-v1,weak_serp,63.1579,,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://remexp.ru/,remexp.ru,8,0,,,homepage,ok,,..\dataset-v2\artifacts\query--4b4bf360fbd6daeb.json,f2b7f46365cd3277b211b412e22671a82e75d7f6,481219,63.1579,20307.0,312413.0,3000.0,1050.0,0.35,5.594,236.0,12.7119,90.0,1.0,15.0,22.0,38.0,1.0,65.0,1.0,149.0,0.0,0.0,0.0,85.0,2.0,2.0,0.666667,0.666667,7.0,0.666667,5.0,0.028333,0.666667,631.0,106.0,658.0,49.0,5.0,45.0,9.0,33.3333,210.333333,35.333333,219.333333,16.333333,0.065,0.53596,1.0,1.0,4.754358,0.422222,0.357307,0.357307,0.357307,0.444444,0.53596,0.75,0.818182,0.972414,0.62963,0.187586,0.53596,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,0.888889,0.888889,0.925926,1.0,0.560566,2.0,5.0,1.0,4.0,1.0,0.0,0.0,1.0,0.733333,1.0,0.91,1.0,0.715623,0.065,0.284377,331.9893,3276.0,59.0,61.0,106.0,6267.7765,0.202738,0.314554,0.0,0.0,0.0,0.0,0.583333,1.0,0.0,0.583333,0.0,0.0,0.710887,0.794791,0.596274,0.69202,0.635517
dataset-v3-d37,v3,extraction-v2,hybrid-v1,weak_serp,57.8947,,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://master-bobr.ru/,master-bobr.ru,9,0,,,homepage,ok,,..\dataset-v2\artifacts\query--2076616f688d19c9.json,53563941b94db55a890b6a0a8deb59733984e389,232131,57.8947,10185.0,173704.0,1395.0,701.0,0.5025089605734767,6.1348,74.0,18.8514,16.0,1.0,9.0,2.0,12.0,1.0,102.0,1.0,194.0,0.0,0.0,0.0,39.0,2.0,2.0,0.666667,0.666667,2.0,0.666667,16.0,0.027957,1.0,145.0,60.0,124.0,20.0,6.0,28.0,4.666667,87.1875,103.942652,43.010753,88.888889,14.336918,0.058634,0.688901,1.0,1.0,9.62069,0.75,0.688901,0.459267,0.459267,0.444444,0.640678,0.8,0.145455,0.662069,0.9319,0.268289,0.688901,200.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.95,1.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.8,8.0,8.0,0.888889,0.888889,0.859259,1.0,0.385714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.91,1.0,0.743475,0.058634,0.256525,180.5498,1458.0,42.0,22.0,60.0,11327.6464,0.285105,0.376329,0.0,0.0,0.0,0.0,0.583333,1.0,0.0,0.583333,0.0,0.0,0.798713,0.839712,0.719268,0.769463,0.751255
dataset-v3-d37,v3,extraction-v2,hybrid-v1,weak_serp,52.6316,,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://star-potolok.ru/,star-potolok.ru,10,0,,,homepage,ok,,..\dataset-v2\artifacts\query--72bbef1aabfdb286.json,d95d49468fbe4d2181a3037422586e09825e2d83,398888,52.6316,23748.0,241886.0,3423.0,1152.0,0.33654688869412797,5.728,282.0,12.1383,35.0,1.0,22.0,5.0,28.0,1.0,72.0,1.0,149.0,0.0,0.0,0.0,55.0,2.0,2.0,0.666667,0.666667,9.0,0.666667,3.0,0.016068,1.0,454.0,214.0,317.0,13.0,8.0,50.0,6.25,97.8,132.632194,62.518259,92.608823,3.797838,0.098178,0.476338,1.0,1.0,7.539648,0.8,0.476338,0.317559,0.317559,0.444444,0.476338,0.8,0.690909,0.972414,0.535593,0.16031,0.476338,200.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,0.888889,1.0,0.962963,1.0,0.457016,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2375,1.0,0.91,1.0,0.65,0.098178,0.35,259.123,3071.0,37.0,18.0,214.0,11523.7069,0.224085,0.330564,0.0,0.0,0.0,0.0,0.583333,1.0,0.0,0.583333,0.0,0.0,0.743127,0.815539,0.620471,0.712127,0.669352
