query,url,expert_target_score,label_source,labeler,notes,critical_score,important_score,supporting_score,rank_prior_score,cap_applied,cap_reasons,quality_band,top_positive_factors,top_negative_factors
натяжные потолки Москва,https://www.potolkoff.ru/,72.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=homepage; raw_score=72.0; cap=100.0,0.61457,0.725989,0.9874,1.0,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|commercial_trust:1.000|text_sufficiency:1.000,page_structure:0.175|title_query_fit:0.352
натяжные потолки Москва,https://rumexpert.ru/,81.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=homepage; raw_score=81.9; cap=100.0,0.832145,0.765598,0.695,0.947368,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000|page_structure:0.435
натяжные потолки Москва,https://100potolkov.ru/,69.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=3; page_type=homepage; raw_score=69.0; cap=100.0,0.608576,0.743656,0.723,0.894737,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.000|page_structure:0.249|title_query_fit:0.352
натяжные потолки Москва,https://potolki-nova.ru/,64.4,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=4; page_type=homepage; raw_score=64.4; cap=100.0,0.514554,0.701705,0.93165,0.842105,100.0,,low,text_sufficiency:1.000|media_and_internal_navigation:1.000|secondary_commercial_details:1.000|commercial_trust:0.968,canonical_consistency:0.150|page_structure:0.230|title_query_fit:0.376|intent_alignment:0.422
натяжные потолки Москва,https://masterpotolkov.com/,70.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=5; page_type=homepage; raw_score=70.5; cap=100.0,0.621324,0.762501,0.8,0.789474,100.0,,medium,crawl_indexability:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000|secondary_commercial_details:1.000,structured_support:0.000|canonical_consistency:0.150|title_query_fit:0.430
натяжные потолки Москва,https://7nebo-nf.ru/,80.0,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=6; page_type=homepage; raw_score=80.0; cap=100.0,0.743761,0.829882,0.9052,0.736842,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.382
натяжные потолки Москва,https://potolok24moscow.ru/,65.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=7; page_type=homepage; raw_score=65.9; cap=82.0,0.613572,0.69557,0.6397,0.684211,82.0,important_canonical_points_elsewhere,medium,text_sufficiency:1.000|media_and_internal_navigation:0.933|crawl_indexability:0.930|offer_and_conversion:0.860,structured_support:0.000|canonical_consistency:0.250
натяжные потолки Москва,https://remexp.ru/,76.2,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=8; page_type=homepage; raw_score=76.2; cap=100.0,0.704332,0.795444,0.8956,0.631579,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.451|page_structure:0.488|mobile_render_performance:0.565
натяжные потолки Москва,https://master-bobr.ru/,71.7,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=9; page_type=homepage; raw_score=71.7; cap=100.0,0.66573,0.781264,0.7205,0.578947,100.0,,medium,crawl_indexability:1.000|media_and_internal_navigation:1.000|technical_metadata:0.946|secondary_commercial_details:0.880,structured_support:0.000|canonical_consistency:0.150|title_query_fit:0.407
натяжные потолки Москва,https://star-potolok.ru/,76.5,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=10; page_type=homepage; raw_score=76.5; cap=100.0,0.723818,0.809739,0.831283,0.526316,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,structured_support:0.366|title_query_fit:0.429
натяжные потолки Санкт-Петербург,https://potolok-peter.ru/,73.9,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=1; page_type=homepage; raw_score=73.9; cap=100.0,0.65225,0.779047,0.82,1.0,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|offer_and_conversion:1.000|text_sufficiency:1.000,page_structure:0.395|title_query_fit:0.398
натяжные потолки Санкт-Петербург,https://evita-potolki.ru/,78.7,seo_weighted_rubric_v4,d45_seo_weighted_rubric_v1,deterministic_expert_rubric=true; human_label=false; rank=2; page_type=homepage; raw_score=78.7; cap=100.0,0.723881,0.801734,0.8568,0.947368,100.0,,medium,crawl_indexability:1.000|canonical_consistency:1.000|text_sufficiency:1.000|media_and_internal_navigation:1.000,title_query_fit:0.389
