dataset_version,feature_schema_version,extraction_artifact_version,label_schema_version,label_source,weak_target_score,expert_target_score,query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,artifact_path,artifact_sha1,artifact_size_bytes,target_score
dataset-v4,v3,extraction-v2,hybrid-v1,weak_serp,63.1579,,натяжные потолки Екатеринбург,натяжные потолки,commercial,Екатеринбург,54,https://skypro-ekb.ru/,skypro-ekb.ru,8,0,,,homepage,failed,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://skypro-ekb.ru/"", waiting until ""domcontentloaded""
",,,0,63.1579
dataset-v4,v3,extraction-v2,hybrid-v1,weak_serp,78.9474,,натяжные потолки цена Санкт-Петербург,натяжные потолки,commercial,Санкт-Петербург,2,https://potolkilider.ru/,potolkilider.ru,5,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://potolkilider.ru/
Call log:
  - navigating to ""https://potolkilider.ru/"", waiting until ""domcontentloaded""
",,,0,78.9474
dataset-v4,v3,extraction-v2,hybrid-v1,weak_serp,73.6842,,натяжные потолки цена Новосибирск,натяжные потолки,commercial,Новосибирск,65,https://nskpotolki.ru/,nskpotolki.ru,6,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://nskpotolki.ru/
Call log:
  - navigating to ""https://nskpotolki.ru/"", waiting until ""domcontentloaded""
",,,0,73.6842
dataset-v4,v3,extraction-v2,hybrid-v1,weak_serp,94.7368,,пластиковые окна Санкт-Петербург,пластиковые окна,commercial,Санкт-Петербург,2,https://zavod-okon-spb.ru/,zavod-okon-spb.ru,2,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://zavod-okon-spb.ru/
Call log:
  - navigating to ""https://zavod-okon-spb.ru/"", waiting until ""domcontentloaded""
",,,0,94.7368
dataset-v4,v3,extraction-v2,hybrid-v1,weak_serp,78.9474,,пластиковые окна Екатеринбург,пластиковые окна,commercial,Екатеринбург,54,https://oknazavr.ru/ekaterinburg/plastikovye-okna/,oknazavr.ru,5,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://oknazavr.ru/ekaterinburg/plastikovye-okna/
Call log:
  - navigating to ""https://oknazavr.ru/ekaterinburg/plastikovye-okna/"", waiting until ""domcontentloaded""
",,,0,78.9474
dataset-v4,v3,extraction-v2,hybrid-v1,weak_serp,89.4737,,пластиковые окна цена Екатеринбург,пластиковые окна,commercial,Екатеринбург,54,https://ekaterinburg.delaem-okna.ru/,ekaterinburg.delaem-okna.ru,3,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://ekaterinburg.delaem-okna.ru/
Call log:
  - navigating to ""https://ekaterinburg.delaem-okna.ru/"", waiting until ""domcontentloaded""
",,,0,89.4737
dataset-v4,v3,extraction-v2,hybrid-v1,weak_serp,84.2105,,пластиковые окна цена Екатеринбург,пластиковые окна,commercial,Екатеринбург,54,https://ekaterinburg.lemanapro.ru/catalogue/plastikovye-okna/,ekaterinburg.lemanapro.ru,4,0,,,product,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://ekaterinburg.lemanapro.ru/catalogue/plastikovye-okna/
Call log:
  - navigating to ""https://ekaterinburg.lemanapro.ru/catalogue/plastikovye-okna/"", waiting until ""domcontentloaded""
",,,0,84.2105
dataset-v4,v3,extraction-v2,hybrid-v1,weak_serp,68.4211,,пластиковые окна цена Екатеринбург,пластиковые окна,commercial,Екатеринбург,54,https://okna66.ru/,okna66.ru,7,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_RESET at https://okna66.ru/
Call log:
  - navigating to ""https://okna66.ru/"", waiting until ""domcontentloaded""
",,,0,68.4211
dataset-v4,v3,extraction-v2,hybrid-v1,weak_serp,63.1579,,пластиковые окна цена Екатеринбург,пластиковые окна,commercial,Екатеринбург,54,https://exclusiveokna.ru/,exclusiveokna.ru,8,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://exclusiveokna.ru/
Call log:
  - navigating to ""https://exclusiveokna.ru/"", waiting until ""domcontentloaded""
",,,0,63.1579
dataset-v4,v3,extraction-v2,hybrid-v1,weak_serp,52.6316,,пластиковые окна цена Екатеринбург,пластиковые окна,commercial,Екатеринбург,54,https://mirokon-ekb.ru/,mirokon-ekb.ru,10,0,,,homepage,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://mirokon-ekb.ru/
Call log:
  - navigating to ""https://mirokon-ekb.ru/"", waiting until ""domcontentloaded""
",,,0,52.6316
