dataset_version,feature_schema_version,extraction_artifact_version,label_schema_version,label_source,weak_target_score,expert_target_score,query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,artifact_path,artifact_sha1,artifact_size_bytes,target_score,text_length_chars,html_length_chars,word_count,unique_word_count,unique_word_ratio,avg_word_length,sentence_count,avg_sentence_length,paragraph_count,h1_count,h2_count,h3_count,heading_count,title_present,title_length,meta_description_present,meta_description_length,query_in_title,query_in_text,exact_query_count,query_term_count,title_query_term_count,meta_query_term_count,title_keyword_coverage_ratio,meta_keyword_coverage_ratio,query_terms_in_headings,heading_query_coverage_ratio,first_200_words_query_term_count,query_density,keyword_coverage_ratio,link_count,image_count,list_item_count,strong_tag_count,form_count,input_count,inputs_per_form_ratio,avg_paragraph_length,link_density_per_1000_words,image_density_per_1000_words,list_density_per_1000_words,strong_density_per_1000_words,text_to_html_ratio,semantic_similarity,early_query_coverage_ratio,conversion_signal_score,content_link_ratio,heading_paragraph_balance,query_semantic_alignment,title_semantic_alignment,heading_semantic_alignment,title_heading_keyword_alignment,content_depth_semantic_score,query_prominence_score,title_length_quality,meta_length_quality,keyword_balance_score,semantic_content_richness,cta_semantic_score,http_status_code,http_status_ok,redirect_count,has_redirect,canonical_present,canonical_matches_final_url,meta_robots_present,x_robots_tag_present,robots_noindex,robots_nofollow,page_indexable,viewport_present,lang_present,hreflang_count,hreflang_present,url_depth,url_parameter_count,url_has_query_parameters,redirect_efficiency_score,url_hygiene_score,technical_metadata_score,canonical_signal_score,technical_seo_score,phone_present,phone_count,email_present,address_present,business_hours_present,price_present,currency_present,delivery_info_present,payment_info_present,warranty_info_present,returns_info_present,reviews_present,rating_present,faq_present,cta_present,cta_count,messenger_present,value_proposition_present,legal_requisites_present,company_identity_present,contact_options_score,commercial_signal_count,trust_signal_count,commercial_signals_score,trust_signals_score,commercial_trust_score,heavy_analysis_available,heavy_analysis_overall_score,structured_data_json_ld_count,structured_data_valid_json_ld_count,structured_data_malformed_json_ld_count,structured_data_schema_type_count,structured_data_business_schema_present,structured_data_offer_schema_present,structured_data_faq_schema_present,structured_data_breadcrumb_schema_present,structured_data_score,mobile_viewport_present,mobile_readiness_score,rendering_browser_fetch_used,rendering_js_dependency_risk,rendering_text_html_ratio,rendering_score,performance_html_size_kb,performance_dom_node_count,performance_script_count,performance_stylesheet_count,performance_image_count,performance_response_time_ms,performance_resource_complexity_score,performance_proxy_score,intent_is_commercial,intent_is_local_commercial,intent_is_informational,intent_is_navigational,intent_confidence,query_local_modifier,commercial_intent_score,local_intent_score,informational_intent_score,navigational_intent_score,commercial_intent_alignment,local_intent_alignment,informational_intent_alignment,navigational_intent_alignment,intent_alignment_score,feature_policy_version
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,100.0,72.0,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://www.potolkoff.ru/,potolkoff.ru,1,0,,,homepage,ok,,..\dataset-v2\artifacts\query--cb9d1ab195e97c39.json,4eb0d0473dfbc5ddbc5b3440ab33e692a7ef95ad,981729,72.0,9600,60000,1600,1200,0.239201,5.7331,90,10.6937,36,1,10,2,18,1,74,1,292,0,1,2,171,2,2,0.666667,0.666667,7,0.666667,5,0.026475,1,80,24,40,21,10,98,9.8,22.5052,80,28,60,3.251277,0.064422,0,1,1,8.728378,0.066202,0,0,0,0.444444,0,0.8,0.654545,0,0.88249,0,0,200,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,9,9,1,1,1,1,0.567202,14,4,0,9,1,0,1,1,0.85,1,0.91,1,0.718153,0.064422,0.281847,730.6328,5013,45,16,368,12599.4363,0.085947,0.22696,0,0,0,0,0.583333,1,0,0.583333,0,0,0.5845,0.703,0.3845,0.5435,0.455,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,94.7368,81.9,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://rumexpert.ru/,rumexpert.ru,2,0,,,homepage,ok,,..\dataset-v2\artifacts\query--26ce9d5e17250f12.json,51f62402faad6124ff5910cb51bd4562d274e4bc,283641,81.9,9600,60000,1600,878,0.404608,6.188,90,21.2745,36,2,10,12,18,1,84,1,255,1,1,1,51,3,2,1,0.666667,26,0.666667,6,0.023502,1,80,24,40,0,4,41,10.25,7.1617,80,28,21.198157,0,0.087567,0.525242,1,1,9.819005,0.168317,0.525242,0.525242,0.350161,0.666667,0.525242,0.916667,0.472727,0.241379,0.78341,0.212517,0.525242,200,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,4,1,1,1,1,1,0,1,1,1,1,0,0,1,6,1,1,1,1,1,7,8,0.777778,0.888889,0.888889,1,0.514743,1,0,1,0,0,0,0,0,0,1,0.91,1,0.367143,0.087567,0.632857,195.7666,2046,13,5,237,5063.3564,0.471486,0.516115,0,0,0,0,0.583333,1,0,0.583333,0,0,0.758531,0.829442,0.606053,0.748329,0.724911,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,89.4737,69.0,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://100potolkov.ru/,100potolkov.ru,3,0,,,homepage,ok,,..\dataset-v2\artifacts\query--b3b66bcb0a7c56b2.json,ffc1feae0b97026b14c45d417ae06d66d104ec20,314215,69.0,9600,60000,1600,1069,0.340446,5.2783,90,17.2527,36,1,10,0,15,1,74,1,148,0,0,0,91,2,2,0.666667,0.666667,2,0.666667,3,0.028981,1,80,24,40,4,2,27,13.5,84.8649,80,27.388535,60,1.273885,0.10967,0,1,1,6.305221,0.405405,0,0,0,0.444444,0,0.8,0.654545,0.97931,0.96603,0,0,200,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1,1,1,0,1,1,1,1,0,1,1,4,0,1,1,1,0.8,8,8,0.888889,0.888889,0.859259,1,0.447678,0,0,0,0,0,0,0,0,0,1,0.91,1,0.547143,0.10967,0.452857,196.3721,2748,27,9,86,3859.6358,0.353808,0.427856,0,0,0,0,0.583333,1,0,0.583333,0,0,0.5445,0.663,0.3845,0.5235,0.455,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,84.2105,64.4,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://potolki-nova.ru/,potolki-nova.ru,4,0,,,homepage,ok,,..\dataset-v2\artifacts\query--6be4a71bbba46016.json,1df38834f51af12b84917eaf48461dd628cd25c4,503634,64.4,9600,60000,1600,1179,0.34748,5.634,90,26.1,25,1,4,3,8,1,49,1,256,0,1,2,113,2,3,0.666667,1,9,1,12,0.033304,1,80,24,40,24,8,27,3.375,135.72,80,28,60,36.54583,0.073396,0,1,1,5.343307,0.32,0,0,0,0.666667,0,0.883333,0.890909,0.234483,0.889871,0,0,200,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0.5,0.75,0.85,1,10,1,1,1,1,1,1,1,1,1,1,0,1,1,23,1,1,1,1,1,9,8,1,0.888889,0.962963,1,0.552194,3,3,0,3,1,0,0,1,0.6625,1,0.91,1,0.678892,0.073396,0.321108,329.1865,3218,38,27,272,4585.606,0.203559,0.315169,0,0,0,0,0.583333,1,0,0.583333,0,0,0.579625,0.695625,0.379625,0.512208,0.422083,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,78.9474,70.5,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://masterpotolkov.com/,masterpotolkov.com,5,0,,,homepage,ok,,..\dataset-v2\artifacts\query--1f7e54f82eaa404f.json,e87bd685d90984c63bffcf10dfe7e3298cec48e9,338122,70.5,9600,60000,1600,816,0.457912,6.0269,90,19.8,9,1,8,5,14,1,76,1,246,0,0,0,18,2,2,0.666667,0.666667,3,0.666667,6,0.010101,1,80,24,40,10,6,80,13.333333,180,80,28,60,5.611672,0.057224,0.529613,1,1,6.144828,1.555556,0.529613,0.353075,0.353075,0.444444,0.529613,0.8,0.618182,0.303448,0.3367,0.240091,0.529613,200,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.75,0.95,1,3,1,1,0,1,1,1,1,1,1,1,0,1,1,6,1,1,1,1,0.8,8,7,0.888889,0.777778,0.822222,1,0.388266,0,0,0,0,0,0,0,0,0,1,0.91,1,0.749644,0.057224,0.250356,232.3018,1868,53,8,131,10572.2397,0.306943,0.392707,0,0,0,0,0.583333,1,0,0.583333,0,0,0.73898,0.737898,0.65016,0.70973,0.679576,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,73.6842,80.0,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://7nebo-nf.ru/,7nebo-nf.ru,6,0,,,homepage,ok,,..\dataset-v2\artifacts\query--5113a67e73a7dc8f.json,3a5a5a202f8d96c299af575dec7a5faa97c51977,471038,80.0,9600,60000,1600,816,0.321133,5.6946,90,16.7171,22,1,10,9,18,1,115,1,150,0,0,0,34,2,2,0.666667,0.666667,6,0.666667,5,0.013381,1,80,24,40,0,7,72,10.285714,115.5,80,28,60,0,0.051796,0.619515,1,1,5.841379,0.909091,0.619515,0.41301,0.41301,0.444444,0.619515,0.8,0,0.965517,0.446019,0.198947,0.619515,200,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,8,1,1,1,1,1,0,1,1,1,1,1,1,1,24,1,1,1,1,1,8,9,0.888889,1,0.962963,1,0.60507,2,4,0,4,1,0,1,0,0.8,1,0.91,1,0.64482,0.051796,0.35518,342.5117,2763,25,18,130,8471.4687,0.256798,0.355098,0,0,0,0,0.583333,1,0,0.583333,0,0,0.796818,0.853123,0.690253,0.765818,0.733782,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,68.4211,65.9,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://potolok24moscow.ru/,potolok24moscow.ru,7,0,,,homepage,ok,,..\dataset-v2\artifacts\query--b0d0a8818f483c58.json,68a505c284a9398cbeed9a3954c198ba5d930f0c,396118,65.9,9600,60000,1516,545,0.359499,5.7757,36,38,20,2,0,2,7,1,65,1,127,0,0,0,64,2,0,0.666667,0,6,0.666667,26,0.042216,0.666667,66,24,40,7,3,70,23.333333,75.8,43.53562,28,60,4.617414,0.030745,0.67867,1,1,22.969697,0.35,0.452447,0.452447,0.452447,0.444444,0.67867,0.75,0.818182,0.875862,0.395192,0.205486,0.67867,200,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0.5,0,0.7,1,4,0,0,1,1,1,0,0,1,1,1,0,0,1,15,1,1,1,1,0.6,5,6,0.555556,0.666667,0.607407,1,0.339008,0,0,0,0,0,0,0,0,0,1,0.91,1,0.865491,0.030745,0.134509,345.7773,1902,62,135,60,5050.4234,0.198698,0.311524,0,0,0,0,0.583333,1,0,0.583333,0,0,0.634301,0.606434,0.573253,0.617124,0.61129,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,63.1579,76.2,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://remexp.ru/,remexp.ru,8,0,,,homepage,ok,,..\dataset-v2\artifacts\query--4b4bf360fbd6daeb.json,f2b7f46365cd3277b211b412e22671a82e75d7f6,481219,76.2,9600,60000,1600,1050,0.35,5.594,90,12.7119,36,1,10,12,18,1,65,1,149,0,0,0,85,2,2,0.666667,0.666667,7,0.666667,5,0.028333,0.666667,80,24,40,24,5,45,9,33.3333,80,28,60,16.333333,0.065,0.53596,1,1,4.754358,0.422222,0.357307,0.357307,0.357307,0.444444,0.53596,0.75,0.818182,0.972414,0.62963,0.187586,0.53596,200,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,6,1,1,1,1,1,0,1,1,1,1,0,1,1,6,1,1,1,1,1,8,8,0.888889,0.888889,0.925926,1,0.560566,2,4,1,4,1,0,0,1,0.733333,1,0.91,1,0.715623,0.065,0.284377,331.9893,3276,59,61,106,6267.7765,0.202738,0.314554,0,0,0,0,0.583333,1,0,0.583333,0,0,0.710887,0.794791,0.596274,0.69202,0.635517,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,57.8947,71.7,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://master-bobr.ru/,master-bobr.ru,9,0,,,homepage,ok,,..\dataset-v2\artifacts\query--2076616f688d19c9.json,53563941b94db55a890b6a0a8deb59733984e389,232131,71.7,9600,60000,1395,701,0.502509,6.1348,74,18.8514,16,1,9,2,12,1,102,1,194,0,0,0,39,2,2,0.666667,0.666667,2,0.666667,16,0.027957,1,80,24,40,20,6,28,4.666667,87.1875,80,28,60,14.336918,0.058634,0.688901,1,1,9.62069,0.75,0.688901,0.459267,0.459267,0.444444,0.640678,0.8,0.145455,0.662069,0.9319,0.268289,0.688901,200,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0.75,0.95,1,5,0,1,1,1,1,0,1,1,1,1,1,1,1,4,1,1,1,1,0.8,8,8,0.888889,0.888889,0.859259,1,0.385714,0,0,0,0,0,0,0,0,0,1,0.91,1,0.743475,0.058634,0.256525,180.5498,1458,42,22,60,11327.6464,0.285105,0.376329,0,0,0,0,0.583333,1,0,0.583333,0,0,0.798713,0.839712,0.719268,0.769463,0.751255,v5-shortcut-control-v1
dataset-v5,v3,extraction-v2,ranking-aware-v5,seo_weighted_page_quality_v5,52.6316,76.5,натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://star-potolok.ru/,star-potolok.ru,10,0,,,homepage,ok,,..\dataset-v2\artifacts\query--72bbef1aabfdb286.json,d95d49468fbe4d2181a3037422586e09825e2d83,398888,76.5,9600,60000,1600,1152,0.336547,5.728,90,12.1383,35,1,10,5,18,1,72,1,149,0,0,0,55,2,2,0.666667,0.666667,9,0.666667,3,0.016068,1,80,24,40,13,8,50,6.25,97.8,80,28,60,3.797838,0.098178,0.476338,1,1,7.539648,0.8,0.476338,0.317559,0.317559,0.444444,0.476338,0.8,0.690909,0.972414,0.535593,0.16031,0.476338,200,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,4,1,1,1,1,1,0,1,1,1,1,1,1,1,5,1,1,1,1,1,8,9,0.888889,1,0.962963,1,0.457016,1,1,0,1,0,0,1,0,0.2375,1,0.91,1,0.65,0.098178,0.35,259.123,3071,37,18,214,11523.7069,0.224085,0.330564,0,0,0,0,0.583333,1,0,0.583333,0,0,0.743127,0.815539,0.620471,0.712127,0.669352,v5-shortcut-control-v1
