query,url,page_target_score,ranking_target_score,critical_search_score,rank_prior_score,quality_band,d50_focus_query,label_source,labeler,notes
натяжные потолки Москва,https://www.potolkoff.ru/,72.0,77.8225,67.8833,100.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Москва,https://rumexpert.ru/,81.9,84.7161,84.4206,92.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Москва,https://100potolkov.ru/,69.0,72.5125,67.8833,85.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Москва,https://potolki-nova.ru/,64.4,67.7861,66.8875,77.5,low,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Москва,https://masterpotolkov.com/,70.5,71.4682,77.7214,70.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Москва,https://7nebo-nf.ru/,80.0,76.4342,83.0615,62.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Москва,https://potolok24moscow.ru/,65.9,63.1716,64.4241,55.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Москва,https://remexp.ru/,76.2,69.4622,75.2879,47.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Москва,https://master-bobr.ru/,71.7,65.8976,81.6239,40.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Москва,https://star-potolok.ru/,76.5,66.838,79.5536,32.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Санкт-Петербург,https://potolok-peter.ru/,73.9,79.5328,71.4321,100.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Санкт-Петербург,https://evita-potolki.ru/,78.7,81.8077,78.2582,92.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Санкт-Петербург,https://spbpotolok.com/,69.6,74.1722,76.4682,85.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Санкт-Петербург,https://potolki-sankt-peterburg.ru/,71.1,72.4461,70.2605,77.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Санкт-Петербург,https://potolkilider.ru/,76.5,75.4634,79.5561,70.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Санкт-Петербург,https://master-plus.spb.ru/natyazhnye-potolki/,62.1,63.3582,69.8746,62.5,low,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Санкт-Петербург,https://potolki-spb.ru/,75.8,71.5877,79.611,55.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Санкт-Петербург,https://tuspb.ru/,69.6,66.096,80.1268,47.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Санкт-Петербург,https://markakachestva.ru/amenities/3782-luchshie-firmy-natjazhnyh-potolkov-v-sankt-peterburge.html,67.2,62.0014,74.2497,40.0,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
натяжные потолки Санкт-Петербург,https://metrpotolok.ru/,70.0,61.9079,73.553,32.5,medium,False,seo_weighted_page_quality_v5,d51_query_preference_rubric_v1,deterministic_expert_rubric=true; human_label=false; page_score_carried_from_dataset_v4=true; ranking_target_used_for_preferences=true
