query,winner_url,loser_url,preference_strength,usable_for_training,weight,winner_page_score,loser_page_score,winner_ranking_target,loser_ranking_target,target_margin,winner_rank,loser_rank,serp_rank_delta,label_source,labeler,reason,patterns,d50_focus_query
входные двери Екатеринбург,https://dveron.ru/vhodnye-dveri,https://dverhome.ru/,strong,True,1.25,73.4,75.0,77.6074,66.7875,10.8199,3,9,6,query_preference_rubric_v5,d51_query_preference_rubric_v1,d50_top3_recovery,rank_prior_disagreement,True
входные двери Екатеринбург,https://dveron.ru/vhodnye-dveri,https://ekaterinburg.dverimagnat.ru/,strong,True,1.25,73.4,77.5,77.6074,68.0093,9.5981,3,10,7,query_preference_rubric_v5,d51_query_preference_rubric_v1,d50_top3_recovery,rank_prior_disagreement,True
входные двери Екатеринбург,https://dveron.ru/vhodnye-dveri,https://ekaterinburg.mall-of-doors.ru/,strong,True,1.25,73.4,79.0,77.6074,75.8783,1.7291,3,6,3,query_preference_rubric_v5,d51_query_preference_rubric_v1,d50_top3_recovery,rank_prior_disagreement,True
входные двери Екатеринбург,https://dveron.ru/vhodnye-dveri,https://ekb.rusdver.net/,strong,True,1.25,73.4,75.8,77.6074,74.5435,3.0639,3,5,2,query_preference_rubric_v5,d51_query_preference_rubric_v1,d50_top3_recovery,rank_prior_disagreement|shortcut_text_volume,True
входные двери Екатеринбург,https://ekat.steklodom.com/catalog/vhodnye-dveri/,https://dverhome.ru/,weak,True,0.65,63.0,75.0,70.3642,66.7875,3.5767,2,9,7,query_preference_rubric_v5,d51_query_preference_rubric_v1,d50_top3_recovery,rank_prior_disagreement,True
входные двери Екатеринбург,https://ekat.steklodom.com/catalog/vhodnye-dveri/,https://ekaterinburg.dverimagnat.ru/,uncertain,False,0.0,63.0,77.5,70.3642,68.0093,2.3549,2,10,8,query_preference_rubric_v5,d51_query_preference_rubric_v1,d50_top3_conflict_manual_review,rank_prior_disagreement,True
входные двери Екатеринбург,https://ekaterinburg.mall-of-doors.ru/,https://ekat.steklodom.com/catalog/vhodnye-dveri/,uncertain,False,0.0,79.0,63.0,75.8783,70.3642,5.5141,6,2,-4,query_preference_rubric_v5,d51_query_preference_rubric_v1,d50_top3_conflict_manual_review,rank_prior_disagreement,True
входные двери Екатеринбург,https://ekb.dvernayamarka.ru/,https://dverhome.ru/,strong,True,1.25,73.9,75.0,80.4561,66.7875,13.6686,1,9,8,query_preference_rubric_v5,d51_query_preference_rubric_v1,d50_top3_recovery,rank_prior_disagreement,True
входные двери Екатеринбург,https://ekb.dvernayamarka.ru/,https://ekaterinburg.dverimagnat.ru/,weak,True,0.65,73.9,77.5,80.4561,68.0093,12.4468,1,10,9,query_preference_rubric_v5,d51_query_preference_rubric_v1,d50_top3_recovery,rank_prior_disagreement,True
входные двери Екатеринбург,https://ekb.dvernayamarka.ru/,https://ekaterinburg.mall-of-doors.ru/,weak,True,0.65,73.9,79.0,80.4561,75.8783,4.5778,1,6,5,query_preference_rubric_v5,d51_query_preference_rubric_v1,d50_top3_recovery,rank_prior_disagreement,True
входные двери Екатеринбург,https://ekb.dvernayamarka.ru/,https://ekb.rusdver.net/,strong,True,1.25,73.9,75.8,80.4561,74.5435,5.9126,1,5,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,d50_top3_recovery,rank_prior_disagreement|shortcut_text_volume,True
входные двери Екатеринбург,https://ekb.rusdver.net/,https://ekat.steklodom.com/catalog/vhodnye-dveri/,uncertain,False,0.0,75.8,63.0,74.5435,70.3642,4.1793,5,2,-3,query_preference_rubric_v5,d51_query_preference_rubric_v1,d50_top3_conflict_manual_review,rank_prior_disagreement|shortcut_text_volume,True
входные двери Екатеринбург,https://door4u.ru/,https://ekaterinburg.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,66.6,30.8,64.6439,32.5409,32.103,7,8,1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://dverhome.ru/,https://door4u.ru/,uncertain,False,0.0,75.0,66.6,66.7875,64.6439,2.1436,9,7,-2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://dverhome.ru/,https://ekaterinburg.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,75.0,30.8,66.7875,32.5409,34.2466,9,8,-1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://dveron.ru/vhodnye-dveri,https://door4u.ru/,strong,True,1.0,73.4,66.6,77.6074,64.6439,12.9635,3,7,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://dveron.ru/vhodnye-dveri,https://ekat.steklodom.com/catalog/vhodnye-dveri/,weak,True,0.5,73.4,63.0,77.6074,70.3642,7.2432,3,2,-1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://dveron.ru/vhodnye-dveri,https://ekaterinburg.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,73.4,30.8,77.6074,32.5409,45.0665,3,8,5,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://dveron.ru/vhodnye-dveri,https://sidoorov.ru/,uncertain,False,0.0,73.4,71.4,77.6074,73.7124,3.895,3,4,1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekat.steklodom.com/catalog/vhodnye-dveri/,https://door4u.ru/,weak,True,0.5,63.0,66.6,70.3642,64.6439,5.7203,2,7,5,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekat.steklodom.com/catalog/vhodnye-dveri/,https://ekaterinburg.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,63.0,30.8,70.3642,32.5409,37.8233,2,8,6,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekaterinburg.dverimagnat.ru/,https://door4u.ru/,uncertain,False,0.0,77.5,66.6,68.0093,64.6439,3.3654,10,7,-3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekaterinburg.dverimagnat.ru/,https://ekaterinburg.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,77.5,30.8,68.0093,32.5409,35.4684,10,8,-2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekaterinburg.mall-of-doors.ru/,https://door4u.ru/,strong,True,1.0,79.0,66.6,75.8783,64.6439,11.2344,6,7,1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekaterinburg.mall-of-doors.ru/,https://dverhome.ru/,strong,True,1.0,79.0,75.0,75.8783,66.7875,9.0908,6,9,3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekaterinburg.mall-of-doors.ru/,https://ekaterinburg.dverimagnat.ru/,weak,True,0.5,79.0,77.5,75.8783,68.0093,7.869,6,10,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekaterinburg.mall-of-doors.ru/,https://ekaterinburg.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,79.0,30.8,75.8783,32.5409,43.3374,6,8,2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekaterinburg.mall-of-doors.ru/,https://sidoorov.ru/,uncertain,False,0.0,79.0,71.4,75.8783,73.7124,2.1659,6,4,-2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekb.dvernayamarka.ru/,https://door4u.ru/,strong,True,1.0,73.9,66.6,80.4561,64.6439,15.8122,1,7,6,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekb.dvernayamarka.ru/,https://dveron.ru/vhodnye-dveri,uncertain,False,0.0,73.9,73.4,80.4561,77.6074,2.8487,1,3,2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekb.dvernayamarka.ru/,https://ekat.steklodom.com/catalog/vhodnye-dveri/,strong,True,1.0,73.9,63.0,80.4561,70.3642,10.0919,1,2,1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekb.dvernayamarka.ru/,https://ekaterinburg.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,73.9,30.8,80.4561,32.5409,47.9152,1,8,7,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekb.dvernayamarka.ru/,https://sidoorov.ru/,weak,True,0.5,73.9,71.4,80.4561,73.7124,6.7437,1,4,3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekb.rusdver.net/,https://door4u.ru/,strong,True,1.0,75.8,66.6,74.5435,64.6439,9.8996,5,7,2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekb.rusdver.net/,https://dverhome.ru/,weak,True,0.5,75.8,75.0,74.5435,66.7875,7.756,5,9,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekb.rusdver.net/,https://ekaterinburg.dverimagnat.ru/,weak,True,0.5,75.8,77.5,74.5435,68.0093,6.5342,5,10,5,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://ekb.rusdver.net/,https://ekaterinburg.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,75.8,30.8,74.5435,32.5409,42.0026,5,8,3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://sidoorov.ru/,https://door4u.ru/,strong,True,1.0,71.4,66.6,73.7124,64.6439,9.0685,4,7,3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://sidoorov.ru/,https://dverhome.ru/,weak,True,0.5,71.4,75.0,73.7124,66.7875,6.9249,4,9,5,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://sidoorov.ru/,https://ekat.steklodom.com/catalog/vhodnye-dveri/,uncertain,False,0.0,71.4,63.0,73.7124,70.3642,3.3482,4,2,-2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://sidoorov.ru/,https://ekaterinburg.dverimagnat.ru/,weak,True,0.5,71.4,77.5,73.7124,68.0093,5.7031,4,10,6,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Екатеринбург,https://sidoorov.ru/,https://ekaterinburg.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,71.4,30.8,73.7124,32.5409,41.1715,4,8,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,True
входные двери Казань,https://kazan.dverimagnat.ru/,https://kzn.doorsstore.ru/,strong,True,1.0,77.7,63.5,76.4986,56.8736,19.625,5,9,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Казань,https://kazan.dverimagnat.ru/,https://mirdverey-kazan.ru/,strong,True,1.0,77.7,30.2,76.4986,45.8585,30.6401,5,1,-4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Казань,https://kzn.doorsstore.ru/,https://mirdverey-kazan.ru/,strong,True,1.0,63.5,30.2,56.8736,45.8585,11.0151,9,1,-8,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveri-estetika.ru/,https://dveri-ntd.ru/,strong,True,1.0,74.9,70.6,80.815,69.547,11.268,1,5,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveri-estetika.ru/,https://dveriarkada.ru/,strong,True,1.0,74.9,70.8,80.815,63.7046,17.1104,1,9,8,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveri-estetika.ru/,https://goroddverei23.ru/catalog/vkhodnye-dveri/,strong,True,1.0,74.9,75.2,80.815,65.7233,15.0917,1,10,9,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveri-estetika.ru/,https://krasnodar.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,74.9,31.7,80.815,41.6755,39.1395,1,3,2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveri-estetika.ru/,https://krasnodar.mall-of-doors.ru/catalog/,strong,True,1.0,74.9,74.4,80.815,69.9158,10.8992,1,7,6,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveri-estetika.ru/,https://krd.doorsstore.ru/,strong,True,1.0,74.9,63.8,80.815,58.8133,22.0017,1,8,7,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveri-estetika.ru/,https://modern-dveri.ru/catalog/vkhodnye-dveri/,weak,True,0.5,74.9,78.2,80.815,75.1495,5.6655,1,6,5,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveri-estetika.ru/,https://prodverikrd.ru/,strong,True,1.0,74.9,67.1,80.815,72.1209,8.6941,1,2,1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveri-ntd.ru/,https://dveriarkada.ru/,weak,True,0.5,70.6,70.8,69.547,63.7046,5.8424,5,9,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveri-ntd.ru/,https://goroddverei23.ru/catalog/vkhodnye-dveri/,uncertain,False,0.0,70.6,75.2,69.547,65.7233,3.8237,5,10,5,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveri-ntd.ru/,https://krasnodar.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,70.6,31.7,69.547,41.6755,27.8715,5,3,-2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveri-ntd.ru/,https://krd.doorsstore.ru/,strong,True,1.0,70.6,63.8,69.547,58.8133,10.7337,5,8,3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveriarkada.ru/,https://krasnodar.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,70.8,31.7,63.7046,41.6755,22.0291,9,3,-6,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dveriarkada.ru/,https://krd.doorsstore.ru/,weak,True,0.5,70.8,63.8,63.7046,58.8133,4.8913,9,8,-1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dverka123.ru/,https://dveri-ntd.ru/,strong,True,1.0,81.1,70.6,80.9683,69.547,11.4213,4,5,1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dverka123.ru/,https://dveriarkada.ru/,strong,True,1.0,81.1,70.8,80.9683,63.7046,17.2637,4,9,5,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dverka123.ru/,https://goroddverei23.ru/catalog/vkhodnye-dveri/,strong,True,1.0,81.1,75.2,80.9683,65.7233,15.245,4,10,6,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dverka123.ru/,https://krasnodar.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,81.1,31.7,80.9683,41.6755,39.2928,4,3,-1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dverka123.ru/,https://krasnodar.mall-of-doors.ru/catalog/,strong,True,1.0,81.1,74.4,80.9683,69.9158,11.0525,4,7,3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dverka123.ru/,https://krd.doorsstore.ru/,strong,True,1.0,81.1,63.8,80.9683,58.8133,22.155,4,8,4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dverka123.ru/,https://modern-dveri.ru/catalog/vkhodnye-dveri/,weak,True,0.5,81.1,78.2,80.9683,75.1495,5.8188,4,6,2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://dverka123.ru/,https://prodverikrd.ru/,strong,True,1.0,81.1,67.1,80.9683,72.1209,8.8474,4,2,-2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://goroddverei23.ru/catalog/vkhodnye-dveri/,https://dveriarkada.ru/,uncertain,False,0.0,75.2,70.8,65.7233,63.7046,2.0187,10,9,-1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://goroddverei23.ru/catalog/vkhodnye-dveri/,https://krasnodar.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,75.2,31.7,65.7233,41.6755,24.0478,10,3,-7,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://goroddverei23.ru/catalog/vkhodnye-dveri/,https://krd.doorsstore.ru/,weak,True,0.5,75.2,63.8,65.7233,58.8133,6.91,10,8,-2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://krasnodar.mall-of-doors.ru/catalog/,https://dveriarkada.ru/,weak,True,0.5,74.4,70.8,69.9158,63.7046,6.2112,7,9,2,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://krasnodar.mall-of-doors.ru/catalog/,https://goroddverei23.ru/catalog/vkhodnye-dveri/,weak,True,0.5,74.4,75.2,69.9158,65.7233,4.1925,7,10,3,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://krasnodar.mall-of-doors.ru/catalog/,https://krasnodar.lemanapro.ru/catalogue/vhodnye-dveri/,strong,True,1.0,74.4,31.7,69.9158,41.6755,28.2403,7,3,-4,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
входные двери Краснодар,https://krasnodar.mall-of-doors.ru/catalog/,https://krd.doorsstore.ru/,strong,True,1.0,74.4,63.8,69.9158,58.8133,11.1025,7,8,1,query_preference_rubric_v5,d51_query_preference_rubric_v1,ranking_target_margin,,False
