query,category,intent,city,region_code,top_n,pages_to_scan
натяжные потолки Москва,натяжные потолки,commercial,Москва,213,10,2
натяжные потолки Санкт-Петербург,натяжные потолки,commercial,Санкт-Петербург,2,10,2
натяжные потолки Екатеринбург,натяжные потолки,commercial,Екатеринбург,54,10,2
натяжные потолки Новосибирск,натяжные потолки,commercial,Новосибирск,65,10,2
натяжные потолки Казань,натяжные потолки,commercial,Казань,43,10,2
натяжные потолки Краснодар,натяжные потолки,commercial,Краснодар,35,10,2
натяжные потолки Самара,натяжные потолки,commercial,Самара,51,10,2
натяжные потолки Нижний Новгород,натяжные потолки,commercial,Нижний Новгород,47,10,2
натяжные потолки цена Москва,натяжные потолки,commercial,Москва,213,10,2
натяжные потолки цена Санкт-Петербург,натяжные потолки,commercial,Санкт-Петербург,2,10,2
натяжные потолки цена Екатеринбург,натяжные потолки,commercial,Екатеринбург,54,10,2
натяжные потолки цена Новосибирск,натяжные потолки,commercial,Новосибирск,65,10,2
натяжные потолки цена Казань,натяжные потолки,commercial,Казань,43,10,2
натяжные потолки цена Краснодар,натяжные потолки,commercial,Краснодар,35,10,2
натяжные потолки цена Самара,натяжные потолки,commercial,Самара,51,10,2
натяжные потолки цена Нижний Новгород,натяжные потолки,commercial,Нижний Новгород,47,10,2
как выбрать натяжные потолки,натяжные потолки,informational,,,10,2
натяжные потолки отзывы,натяжные потолки,informational,,,10,2
пластиковые окна Москва,пластиковые окна,commercial,Москва,213,10,2
пластиковые окна Санкт-Петербург,пластиковые окна,commercial,Санкт-Петербург,2,10,2
пластиковые окна Екатеринбург,пластиковые окна,commercial,Екатеринбург,54,10,2
пластиковые окна Новосибирск,пластиковые окна,commercial,Новосибирск,65,10,2
пластиковые окна Казань,пластиковые окна,commercial,Казань,43,10,2
пластиковые окна Краснодар,пластиковые окна,commercial,Краснодар,35,10,2
пластиковые окна Самара,пластиковые окна,commercial,Самара,51,10,2
пластиковые окна Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,10,2
пластиковые окна цена Москва,пластиковые окна,commercial,Москва,213,10,2
пластиковые окна цена Санкт-Петербург,пластиковые окна,commercial,Санкт-Петербург,2,10,2
пластиковые окна цена Екатеринбург,пластиковые окна,commercial,Екатеринбург,54,10,2
пластиковые окна цена Новосибирск,пластиковые окна,commercial,Новосибирск,65,10,2
пластиковые окна цена Казань,пластиковые окна,commercial,Казань,43,10,2
пластиковые окна цена Краснодар,пластиковые окна,commercial,Краснодар,35,10,2
пластиковые окна цена Самара,пластиковые окна,commercial,Самара,51,10,2
пластиковые окна цена Нижний Новгород,пластиковые окна,commercial,Нижний Новгород,47,10,2
как выбрать пластиковые окна,пластиковые окна,informational,,,10,2
пластиковые окна отзывы,пластиковые окна,informational,,,10,2
входные двери Москва,входные двери,commercial,Москва,213,10,2
входные двери Санкт-Петербург,входные двери,commercial,Санкт-Петербург,2,10,2
входные двери Екатеринбург,входные двери,commercial,Екатеринбург,54,10,2
входные двери Новосибирск,входные двери,commercial,Новосибирск,65,10,2
входные двери Казань,входные двери,commercial,Казань,43,10,2
входные двери Краснодар,входные двери,commercial,Краснодар,35,10,2
входные двери Самара,входные двери,commercial,Самара,51,10,2
входные двери Нижний Новгород,входные двери,commercial,Нижний Новгород,47,10,2
входные двери цена Москва,входные двери,commercial,Москва,213,10,2
входные двери цена Санкт-Петербург,входные двери,commercial,Санкт-Петербург,2,10,2
