dataset_version,feature_schema_version,extraction_artifact_version,label_schema_version,label_source,weak_target_score,expert_target_score,query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,artifact_path,artifact_sha1,artifact_size_bytes,target_score,text_length_chars,html_length_chars,word_count,unique_word_count,unique_word_ratio,avg_word_length,sentence_count,avg_sentence_length,paragraph_count,h1_count,h2_count,h3_count,heading_count,title_present,title_length,meta_description_present,meta_description_length,query_in_title,query_in_text,exact_query_count,query_term_count,title_query_term_count,meta_query_term_count,title_keyword_coverage_ratio,meta_keyword_coverage_ratio,query_terms_in_headings,heading_query_coverage_ratio,first_200_words_query_term_count,query_density,keyword_coverage_ratio,link_count,image_count,list_item_count,strong_tag_count,form_count,input_count,inputs_per_form_ratio,avg_paragraph_length,link_density_per_1000_words,image_density_per_1000_words,list_density_per_1000_words,strong_density_per_1000_words,text_to_html_ratio,semantic_similarity,early_query_coverage_ratio,conversion_signal_score,content_link_ratio,heading_paragraph_balance,query_semantic_alignment,title_semantic_alignment,heading_semantic_alignment,title_heading_keyword_alignment,content_depth_semantic_score,query_prominence_score,title_length_quality,meta_length_quality,keyword_balance_score,semantic_content_richness,cta_semantic_score,http_status_code,http_status_ok,redirect_count,has_redirect,canonical_present,canonical_matches_final_url,meta_robots_present,x_robots_tag_present,robots_noindex,robots_nofollow,page_indexable,viewport_present,lang_present,hreflang_count,hreflang_present,url_depth,url_parameter_count,url_has_query_parameters,redirect_efficiency_score,url_hygiene_score,technical_metadata_score,canonical_signal_score,technical_seo_score,phone_present,phone_count,email_present,address_present,business_hours_present,price_present,currency_present,delivery_info_present,payment_info_present,warranty_info_present,returns_info_present,reviews_present,rating_present,faq_present,cta_present,cta_count,messenger_present,value_proposition_present,legal_requisites_present,company_identity_present,contact_options_score,commercial_signal_count,trust_signal_count,commercial_signals_score,trust_signals_score,commercial_trust_score
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,94.7368,,козловой кран купить,industrial_cranes,commercial,,,https://www.avito.ru/all?q=кран+козловой,avito.ru,2,0,,,content,ok,,artifacts\query--9e601eafa9704d97.json,6586c1454d7cc943e0bd9adf618219db10d5b944,238631,94.7368,77.0,235460.0,12.0,12.0,1.0,5.3333,1.0,12.0,1.0,1.0,0.0,0.0,1.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,83.333333,0.0,0.0,0.000327,0.103497,0.0,0.25,12.0,1.0,0.0,0.0,0.0,0.0,0.000828,0.0,0.927273,0.0,0.0,0.00069,0.025874,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,0.4,0.5,0.35,0.65,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,4.0,3.0,0.444444,0.333333,0.325926
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,89.4737,,козловой кран купить,industrial_cranes,commercial,,,https://ros-kran.com/katalog/kozlovoy-kran/,ros-kran.com,3,0,,,content,ok,,artifacts\query--82316c9ec931e3ce.json,3c3a4cc7e302924b1f67a539cc2f1c381893bbf3,1177640,89.4737,14206.0,1089889.0,2050.0,836.0,0.40780487804878046,5.6278,95.0,21.5789,45.0,1.0,8.0,4.0,13.0,1.0,79.0,1.0,159.0,1.0,1.0,7.0,98.0,3.0,0.0,1.0,0.0,3.0,1.0,17.0,0.047805,1.0,142.0,48.0,130.0,26.0,5.0,36.0,7.2,45.5556,69.268293,23.414634,63.414634,12.682927,0.013034,0.456294,1.0,1.0,14.43662,0.288889,0.456294,0.456294,0.456294,1.0,0.456294,1.0,0.563636,0.903448,0.406504,0.186079,0.456294,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.8,1.0,1.0,0.96,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,9.0,8.0,1.0,0.888889,0.962963
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,84.2105,,козловой кран купить,industrial_cranes,commercial,,,https://roskran.ru/katalog-oborudovaniya/promyshlennye-krany-i-telfery/krany-kozlovye/,roskran.ru,4,0,,,content,ok,,artifacts\query--f9989f10532da14d.json,580435137040c081e4f33a3fb11f75a8ae52587f,1275060,84.2105,6162.0,1161016.0,785.0,441.0,0.5617834394904458,6.6357,57.0,13.7719,202.0,1.0,5.0,1.0,7.0,1.0,65.0,1.0,152.0,0.0,0.0,0.0,26.0,3.0,0.0,1.0,0.0,2.0,0.666667,3.0,0.033121,1.0,153.0,270.0,133.0,5.0,7.0,75.0,10.714286,3.8861,194.904459,343.949045,169.426752,6.369427,0.005307,0.470469,1.0,1.0,5.130719,0.034653,0.470469,0.470469,0.313646,0.666667,0.246212,0.916667,0.818182,0.951724,0.895966,0.115265,0.470469,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.7,1.0,1.0,0.94,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,0.777778,0.777778,0.851852
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,78.9474,,козловой кран купить,industrial_cranes,commercial,,,https://aicranes.ru/kozlovyye-krany-v-rossii/,aicranes.ru,5,0,,,content,ok,,artifacts\query--1abceacb29143289.json,8a63c56c9f4ab6a5d64cad80694a7a05f8936bda,640069,78.9474,20248.0,539908.0,2765.0,1037.0,0.37504520795660035,6.1667,147.0,18.8095,164.0,6.0,12.0,20.0,38.0,1.0,31.0,1.0,138.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,14.0,0.666667,0.0,0.033273,1.0,87.0,58.0,184.0,41.0,3.0,46.0,15.333333,16.8598,31.464738,20.976492,66.546112,14.82821,0.037503,0.16675,0.0,1.0,31.781609,0.231707,0.16675,0.0,0.111167,0.0,0.16675,0.316667,0.563636,0.951724,0.890898,0.062539,0.16675,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9,1.0,1.0,0.98,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,0.777778,0.888889,0.888889
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,73.6842,,козловой кран купить,industrial_cranes,commercial,,,https://www.riza-gold.ru/kozlovye_krany/,riza-gold.ru,6,0,,,content,ok,,artifacts\query--3050aab362026b58.json,d9f1ec61f077f3966dea5e678aa7295d8cbc90d5,155163,73.6842,5411.0,111222.0,1047.0,263.0,0.2511938872970392,3.9761,58.0,18.0517,3.0,1.0,0.0,15.0,16.0,1.0,58.0,1.0,182.0,0.0,0.0,0.0,34.0,1.0,0.0,0.333333,0.0,30.0,0.666667,10.0,0.032474,1.0,221.0,22.0,125.0,2.0,4.0,12.0,3.0,349.0,211.079274,21.012416,119.38873,1.91022,0.04865,0.320792,1.0,1.0,4.737557,5.333333,0.320792,0.106931,0.213861,0.222222,0.223913,0.683333,0.945455,0.744828,0.917542,0.046871,0.320792,200.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9,1.0,1.0,0.98,1.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.6,4.0,5.0,0.444444,0.555556,0.533333
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,68.4211,,козловой кран купить,industrial_cranes,commercial,,,https://vysota-kran.ru/catalog/krany-kozlovye/,vysota-kran.ru,7,0,,,product,ok,,artifacts\query--49291948af5c7a66.json,94f4a67fd4ccb61beeca2873835852dc0f893839,156751,68.4211,11855.0,90513.0,1499.0,683.0,0.45563709139426284,6.6598,80.0,18.7375,30.0,1.0,8.0,0.0,9.0,1.0,54.0,1.0,151.0,0.0,0.0,0.0,52.0,3.0,2.0,1.0,0.666667,3.0,1.0,10.0,0.03469,1.0,123.0,22.0,98.0,14.0,4.0,11.0,2.75,49.9667,82.054703,14.676451,65.376918,9.33956,0.130976,0.198283,1.0,1.0,12.186992,0.3,0.198283,0.198283,0.198283,1.0,0.198151,1.0,0.981818,0.958621,0.843674,0.075237,0.198283,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.8,1.0,1.0,0.96,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,0.888889,0.888889,0.925926
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,63.1579,,козловой кран купить,industrial_cranes,commercial,,,https://www.npommz.ru/kozlovye-krany,npommz.ru,8,0,,,content,ok,,artifacts\query--f86e4687a84ed9b8.json,cedfe3f14d1a5dd9eb1f7a11f8410f3fd06e88d0,355441,63.1579,23766.0,189904.0,3068.0,963.0,0.3138852672750978,6.6248,76.0,40.3684,64.0,1.0,11.0,5.0,17.0,1.0,77.0,1.0,207.0,0.0,0.0,0.0,14.0,3.0,1.0,1.0,0.333333,0.0,0.0,3.0,0.004563,1.0,566.0,123.0,561.0,9.0,4.0,52.0,13.0,47.9375,184.485007,40.091265,182.85528,2.933507,0.125147,0.376666,1.0,1.0,5.420495,0.265625,0.376666,0.376666,0.0,0.0,0.376666,0.75,0.6,0.572414,0.152108,0.11823,0.376666,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9,1.0,1.0,0.98,1.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.8,7.0,8.0,0.777778,0.888889,0.822222
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,57.8947,,козловой кран купить,industrial_cranes,commercial,,,https://kozlovoi-kran.ru/product/kozlovye-krany/,kozlovoi-kran.ru,9,0,,,product,ok,,artifacts\query--fd0e8dec10cb48cc.json,7afeb8ba972dc84d1cce68d940eaa3109183e2ff,232659,57.8947,5862.0,174516.0,813.0,340.0,0.4182041820418204,6.0123,63.0,12.9048,9.0,1.0,0.0,3.0,4.0,1.0,59.0,1.0,195.0,0.0,0.0,0.0,26.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.03198,1.0,120.0,10.0,54.0,0.0,1.0,1.0,1.0,90.3333,147.601476,12.300123,66.420664,0.0,0.03359,0.452398,1.0,1.0,6.775,0.444444,0.452398,0.452398,0.0,0.0,0.2452,0.75,0.927273,0.655172,0.933989,0.085453,0.452398,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.8,1.0,0.75,0.91,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,1.0,0.8,7.0,8.0,0.777778,0.888889,0.822222
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,52.6316,,козловой кран купить,industrial_cranes,commercial,,,https://www.velkran.ru/catalog/kozlovoj-kran/,velkran.ru,10,0,,,product,ok,,artifacts\query--3277bf1fe3d9ad27.json,8d6e3f8c404a7063d9631cbeb5b751357d9f8341,177411,52.6316,11617.0,97133.0,1557.0,683.0,0.4386640976236352,6.2749,78.0,19.9615,15.0,1.0,3.0,0.0,4.0,1.0,76.0,1.0,175.0,0.0,0.0,0.0,64.0,0.0,3.0,0.0,1.0,2.0,0.666667,22.0,0.041105,1.0,232.0,30.0,153.0,0.0,5.0,49.0,9.8,103.8,149.004496,19.267823,98.265896,0.0,0.119599,0.324345,1.0,1.0,6.711207,0.266667,0.324345,0.0,0.21623,0.0,0.324345,0.566667,0.618182,0.793103,0.629844,0.123071,0.324345,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.8,1.0,0.75,0.91,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,6.0,0.777778,0.666667,0.814815
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,козловой кран цена,industrial_cranes,commercial,,,https://www.vseinstrumenti.ru/category/krany-kozlovye-170137/,vseinstrumenti.ru,1,0,,,category,ok,,artifacts\query--d449c53b600c2a9e.json,a745107e468c41e1cb0cb33786d4b483a885533f,22749,100.0,549.0,16322.0,82.0,75.0,0.9146341463414634,5.5488,7.0,11.7143,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,12.195122,0.0,0.0,0.033636,0.022943,0.0,0.25,82.0,0.0,0.0,0.0,0.0,0.0,0.001254,0.0,0.0,0.0,0.0,0.000956,0.005736,403.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,1.0,1.0,0.5,1.0,0.35,0.57,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.0,0.111111,0.111111,0.140741
