dataset_version,feature_schema_version,extraction_artifact_version,label_schema_version,label_source,weak_target_score,expert_target_score,query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,artifact_path,artifact_sha1,artifact_size_bytes,target_score
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,козловой кран купить,industrial_cranes,commercial,,,https://www.vseinstrumenti.ru/category/krany-kozlovye-170137/,vseinstrumenti.ru,1,0,,,category,failed,Page.content: Unable to retrieve content because the page is navigating and changing the content.,,,0,100.0
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,52.6316,,ремонт квартир москва,apartment_renovation,commercial,Москва,213,https://domclick.ru/my-home/promo/remont/pod-klyuch,domclick.ru,10,0,,,content,failed,Browser rendering did not produce usable content,,,0,52.6316
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,84.2105,,ремонт квартир под ключ цена,apartment_renovation,commercial,,,https://blog.domclick.ru/dom-i-uyut/post/skolko-stoit-remont-v-novostrojke-v-2025-godu,blog.domclick.ru,4,0,,,article,failed,Browser rendering did not produce usable content,,,0,84.2105
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,89.4737,,капитальный ремонт квартиры москва,apartment_renovation,commercial,Москва,213,https://domclick.ru/my-home/promo/remont/kapitalnyj,domclick.ru,3,0,,,content,failed,Browser rendering did not produce usable content,,,0,89.4737
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,63.1579,,ремонт квартиры в новостройке,apartment_renovation,commercial,,,https://avadom.ru/articles/remont-s-nulya-v-novostroyke/,avadom.ru,8,0,,,article,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://avadom.ru/articles/remont-s-nulya-v-novostroyke/
Call log:
  - navigating to ""https://avadom.ru/articles/remont-s-nulya-v-novostroyke/"", waiting until ""domcontentloaded""
",,,0,63.1579
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,84.2105,,как выбрать компанию по ремонту квартир,apartment_renovation,informational,,,https://rg.ru/2025/05/21/kak-vybrat-kompaniiu-dlia-remonta-kvartiry-5-glavnyh-sovetov.html,rg.ru,4,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://rg.ru/2025/05/21/kak-vybrat-kompaniiu-dlia-remonta-kvartiry-5-glavnyh-sovetov.html
Call log:
  - navigating to ""https://rg.ru/2025/05/21/kak-vybrat-kompaniiu-dlia-remonta-kvartiry-5-glavnyh-sovetov.html"", waiting until ""domcontentloaded""
",,,0,84.2105
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,78.9474,,натяжной потолок цена за м2,stretch_ceilings,commercial,,,https://натяжные-потолки24.рф/kalkulyator,натяжные-потолки24.рф,5,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://xn---24-5cdzfqpipcoam4bg2mvc.xn--p1ai/kalkulyator
Call log:
  - navigating to ""https://xn---24-5cdzfqpipcoam4bg2mvc.xn--p1ai/kalkulyator"", waiting until ""domcontentloaded""
",,,0,78.9474
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,89.4737,,какой натяжной потолок выбрать,stretch_ceilings,informational,,,https://blog.domclick.ru/dom-i-uyut/post/kakoj-natyazhnoj-potolok-vybrat-sravnenie-materialov-faktur-i-cen,blog.domclick.ru,3,0,,,article,failed,Browser rendering did not produce usable content,,,0,89.4737
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,84.2105,,окна пвх на балкон,plastic_windows,commercial,,,https://okna-magnit.ru/okna-pod-klyuch/vidyi-okon/balkonnyoe/,okna-magnit.ru,4,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://okna-magnit.ru/okna-pod-klyuch/vidyi-okon/balkonnyoe/
Call log:
  - navigating to ""https://okna-magnit.ru/okna-pod-klyuch/vidyi-okon/balkonnyoe/"", waiting until ""domcontentloaded""
",,,0,84.2105
dataset-v6-query-relevance,v2,extraction-v2,hybrid-v1,weak_serp,57.8947,,окна пвх на балкон,plastic_windows,commercial,,,https://oknafoster.ru/osteklenie-balkonov-oknami-pvh/,oknafoster.ru,9,0,,,content,failed,"Page.goto: net::ERR_CONNECTION_TIMED_OUT at https://oknafoster.ru/osteklenie-balkonov-oknami-pvh/
Call log:
  - navigating to ""https://oknafoster.ru/osteklenie-balkonov-oknami-pvh/"", waiting until ""domcontentloaded""
",,,0,57.8947
