dataset_version,feature_schema_version,extraction_artifact_version,label_schema_version,label_source,weak_target_score,expert_target_score,query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,artifact_path,artifact_sha1,artifact_size_bytes,target_score,text_length_chars,html_length_chars,word_count,unique_word_count,unique_word_ratio,avg_word_length,sentence_count,avg_sentence_length,paragraph_count,h1_count,h2_count,h3_count,heading_count,title_present,title_length,meta_description_present,meta_description_length,query_in_title,query_in_text,exact_query_count,query_term_count,title_query_term_count,meta_query_term_count,title_keyword_coverage_ratio,meta_keyword_coverage_ratio,query_terms_in_headings,heading_query_coverage_ratio,first_200_words_query_term_count,query_density,keyword_coverage_ratio,link_count,image_count,list_item_count,strong_tag_count,form_count,input_count,inputs_per_form_ratio,avg_paragraph_length,link_density_per_1000_words,image_density_per_1000_words,list_density_per_1000_words,strong_density_per_1000_words,text_to_html_ratio,semantic_similarity,early_query_coverage_ratio,conversion_signal_score,content_link_ratio,heading_paragraph_balance,query_semantic_alignment,title_semantic_alignment,heading_semantic_alignment,title_heading_keyword_alignment,content_depth_semantic_score,query_prominence_score,title_length_quality,meta_length_quality,keyword_balance_score,semantic_content_richness,cta_semantic_score,http_status_code,http_status_ok,redirect_count,has_redirect,canonical_present,canonical_matches_final_url,meta_robots_present,x_robots_tag_present,robots_noindex,robots_nofollow,page_indexable,viewport_present,lang_present,hreflang_count,hreflang_present,url_depth,url_parameter_count,url_has_query_parameters,redirect_efficiency_score,url_hygiene_score,technical_metadata_score,canonical_signal_score,technical_seo_score,phone_present,phone_count,email_present,address_present,business_hours_present,price_present,currency_present,delivery_info_present,payment_info_present,warranty_info_present,returns_info_present,reviews_present,rating_present,faq_present,cta_present,cta_count,messenger_present,value_proposition_present,legal_requisites_present,company_identity_present,contact_options_score,commercial_signal_count,trust_signal_count,commercial_signals_score,trust_signals_score,commercial_trust_score
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,ветеринарная клиника Москва,veterinary_clinic,commercial,Москва,213,https://yandex.ru/maps/213/moscow/category/veterinary_clinic/184107216/,yandex.ru,1,0,,,category,ok,,artifacts\query--37c83e89137cd279.json,0cb589adb20ce3640d08f96beb80ae30d5289410,1612690,100.0,2359.0,1434452.0,348.0,190.0,0.5459770114942529,5.5833,15.0,23.2,1.0,1.0,0.0,0.0,1.0,1.0,69.0,1.0,171.0,0.0,0.0,0.0,33.0,1.0,1.0,0.333333,0.333333,1.0,0.333333,19.0,0.094828,1.0,77.0,25.0,9.0,0.0,1.0,1.0,1.0,348.0,221.264368,71.83908,25.862069,0.0,0.001645,0.0,1.0,1.0,4.519481,1.0,0.0,0.0,0.0,0.111111,0.0,0.6,0.745455,0.82069,0.0,0.0,0.0,200.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,6.0,3.0,1.0,1.0,0.1,1.0,1.0,0.82,1.0,26.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,9.0,7.0,1.0,0.777778,0.859259
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,88.8889,,ветеринарная клиника Москва,veterinary_clinic,commercial,Москва,213,https://vet.city/,vet.city,2,0,,,homepage,ok,,artifacts\query--bad0a5e504f60578.json,696e2c1c301b6fb2ea5be24b85547801afa76683,1191174,88.8889,23000.0,1053289.0,3293.0,1165.0,0.353780747039174,5.7786,190.0,17.3316,97.0,1.0,9.0,19.0,29.0,1.0,86.0,1.0,265.0,0.0,0.0,0.0,48.0,2.0,4.0,0.666667,1.0,2.0,0.666667,2.0,0.014576,1.0,153.0,154.0,84.0,1.0,8.0,57.0,7.125,33.9485,46.462193,46.765867,25.508655,0.303674,0.021836,0.0,0.666667,1.0,21.522876,0.298969,0.0,0.0,0.0,0.444444,0.0,0.716667,0.436364,0.172414,0.485879,0.0,0.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.95,1.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,1.0,0.8,7.0,6.0,0.777778,0.666667,0.748148
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,77.7778,,ветеринарная клиника Москва,veterinary_clinic,commercial,Москва,213,https://mos-obvet.ru/clinics/,mos-obvet.ru,3,0,,,content,ok,,artifacts\query--aa238287d78e1e8e.json,a7855801e2d388d9928c7e07fe3e776f9259b92c,345488,77.7778,6800.0,303968.0,1044.0,318.0,0.3045977011494253,5.2232,79.0,13.2152,142.0,0.0,27.0,2.0,29.0,1.0,43.0,1.0,92.0,0.0,1.0,2.0,76.0,3.0,3.0,1.0,0.666667,37.0,0.666667,15.0,0.072797,1.0,72.0,3.0,28.0,2.0,0.0,0.0,0.0,7.3521,68.965517,2.873563,26.819923,1.915709,0.022371,0.0,1.0,0.5,14.5,0.204225,0.0,0.0,0.0,0.666667,0.0,0.916667,0.781818,0.634483,0.0,0.0,0.0,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9,1.0,1.0,0.98,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8,3.0,5.0,0.333333,0.555556,0.562963
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,55.5556,,ветеринарная клиника Москва,veterinary_clinic,commercial,Москва,213,https://2gis.ru/moscow/search/Ветеринарные клиники (ветклиники)/rubricId/205,2gis.ru,5,0,,,content,ok,,artifacts\query--67ec198136bce5d8.json,b4ee01df93ada666c70bf7771fe9638b87a6627a,1248721,55.5556,8453.0,953799.0,947.0,555.0,0.5860612460401268,6.7096,38.0,24.9211,1.0,1.0,1.0,5.0,7.0,1.0,80.0,1.0,146.0,0.0,0.0,0.0,68.0,3.0,2.0,1.0,0.666667,3.0,0.666667,5.0,0.071806,1.0,362.0,26.0,58.0,0.0,1.0,24.0,24.0,947.0,382.259768,27.455121,61.24604,0.0,0.008862,0.0,1.0,1.0,2.616022,7.0,0.0,0.0,0.0,0.666667,0.0,0.916667,0.545455,0.993103,0.0,0.0,0.0,200.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.5,1.0,1.0,0.9,1.0,298.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.6,9.0,7.0,1.0,0.777778,0.792593
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,44.4444,,ветеринарная клиника Москва,veterinary_clinic,commercial,Москва,213,https://veterinarnye-kliniki-moskvy.ru/,veterinarnye-kliniki-moskvy.ru,6,0,,,homepage,ok,,artifacts\query--2c2a2a487a708e1b.json,4d69aeb8cb674c99660101c74117a82463966f11,93394,44.4444,21260.0,32192.0,2312.0,1326.0,0.5735294117647058,7.8002,228.0,10.1404,245.0,1.0,1.0,7.0,9.0,1.0,55.0,1.0,199.0,0.0,0.0,0.0,175.0,3.0,3.0,1.0,1.0,9.0,1.0,25.0,0.075692,1.0,2.0,27.0,73.0,0.0,0.0,0.0,0.0,9.4367,0.865052,11.678201,31.574394,0.0,0.660413,0.0,1.0,0.5,1156.0,0.036735,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.627586,0.0,0.0,0.0,200.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.8,1.0,10.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6,7.0,7.0,0.777778,0.777778,0.718519
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,33.3333,,ветеринарная клиника Москва,veterinary_clinic,commercial,Москва,213,https://dr-hug.vet/,dr-hug.vet,7,0,,,homepage,ok,,artifacts\query--5c123c1e3ef3f5a9.json,568c61d756cd1f369f653a940f2b88f0b32d5061,279133,33.3333,14761.0,205838.0,1963.0,813.0,0.4141619969434539,6.3031,198.0,9.9141,26.0,2.0,0.0,3.0,5.0,1.0,84.0,1.0,150.0,0.0,0.0,0.0,37.0,3.0,3.0,1.0,1.0,4.0,0.666667,7.0,0.018849,1.0,125.0,47.0,97.0,7.0,3.0,16.0,5.333333,75.5,63.678044,23.942944,49.414162,3.56597,0.071712,0.0,1.0,1.0,15.704,0.192308,0.0,0.0,0.0,0.666667,0.0,0.916667,0.472727,0.965517,0.62829,0.0,0.0,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,6.0,7.0,0.666667,0.777778,0.748148
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,22.2222,,ветеринарная клиника Москва,veterinary_clinic,commercial,Москва,213,https://vetclinika.moscow/,vetclinika.moscow,8,0,,,homepage,ok,,artifacts\query--884d05dc79e2a7dc.json,b84c45e90494ce207787b941f6147b59f725c65c,301740,22.2222,127.0,230417.0,20.0,20.0,1.0,5.25,1.0,20.0,37.0,1.0,3.0,0.0,4.0,1.0,58.0,1.0,319.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.333333,0.0,0.0,3.0,0.15,1.0,189.0,166.0,111.0,0.0,7.0,64.0,9.142857,0.5405,9450.0,8300.0,5550.0,0.0,0.000551,0.0,1.0,1.0,0.10582,0.108108,0.0,0.0,0.0,0.0,0.0,0.75,0.945455,0.0,0.0,0.0,0.0,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.9,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6,7.0,6.0,0.777778,0.666667,0.681481
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,11.1111,,ветеринарная клиника Москва,veterinary_clinic,commercial,Москва,213,https://www.svoydoctor.ru/,svoydoctor.ru,9,0,,,homepage,ok,,artifacts\query--b0734d68e553c62f.json,6d05e6ff036c0d90ea9e4cf1a00c919d28b52ef8,268737,11.1111,13769.0,168721.0,1680.0,644.0,0.38333333333333336,7.0571,100.0,16.8,54.0,1.0,3.0,0.0,4.0,1.0,71.0,1.0,173.0,0.0,0.0,0.0,58.0,3.0,3.0,1.0,1.0,4.0,1.0,9.0,0.034524,1.0,318.0,31.0,103.0,8.0,2.0,4.0,2.0,31.1111,189.285714,18.452381,61.309524,4.761905,0.081608,0.0,1.0,1.0,5.283019,0.074074,0.0,0.0,0.0,1.0,0.0,1.0,0.709091,0.806897,0.849206,0.0,0.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.95,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,6.0,5.0,0.666667,0.555556,0.607407
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,0.0,,ветеринарная клиника Москва,veterinary_clinic,commercial,Москва,213,https://zoon.ru/msk/vet/,zoon.ru,10,0,,,content,ok,,artifacts\query--03122dd957d18f03.json,9e800dc058c52aec3ae7a2f154042522f3531979,1580027,0.0,43319.0,1162373.0,6251.0,2030.0,0.3247480403135498,5.5417,140.0,44.65,2.0,1.0,2.0,0.0,3.0,1.0,115.0,1.0,290.0,0.0,0.0,0.0,219.0,3.0,6.0,1.0,1.0,3.0,1.0,7.0,0.035034,1.0,858.0,55.0,286.0,0.0,2.0,9.0,4.5,3125.5,137.258039,8.798592,45.75268,0.0,0.037268,0.0,1.0,1.0,7.285548,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.832187,0.0,0.0,200.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.8,1.0,1.0,0.96,1.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,9.0,8.0,1.0,0.888889,0.962963
dataset-v7-final,v2,extraction-v2,hybrid-v1,weak_serp,100.0,,ветеринарная клиника цена,veterinary_clinic,commercial,,,https://www.biocontrol.ru/uslugi-i-ceny.html,biocontrol.ru,1,0,,,content,ok,,artifacts\query--0410128ff5b53c57.json,fb988344f3eb570987575e9273556ebb5a697dab,828627,100.0,107847.0,491565.0,14020.0,2941.0,0.20977175463623396,6.4935,1241.0,11.2973,389.0,1.0,0.0,12.0,13.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,0.666667,0.0,0.0,0.0,6.0,0.002211,1.0,183.0,10.0,104.0,1242.0,9.0,9.0,1.0,36.0411,13.052782,0.713267,7.417974,88.587732,0.219395,0.0,1.0,1.0,76.612022,0.033419,0.0,0.0,0.0,0.0,0.0,0.633333,0.854545,0.0,0.073704,0.0,0.0,200.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9,1.0,1.0,0.98,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,9.0,6.0,1.0,0.666667,0.822222
