query,category,intent,city,region_code,top_n,pages_to_scan,target_topic,query_focus,positive_page_pattern,negative_page_traps
козловой кран купить,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,покупка козлового крана,посадочная или каталог про козловые краны с моделями характеристиками ценой или заявкой,винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа
козловой кран цена,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,цена козлового крана,посадочная или каталог про козловые краны с моделями характеристиками ценой или заявкой,винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа
козловые краны производитель,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,производитель козловых кранов,посадочная или каталог про козловые краны с моделями характеристиками ценой или заявкой,винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа
козловой кран 5 тонн купить,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,козловой кран грузоподъемностью 5 тонн,посадочная или каталог про козловые краны с моделями характеристиками ценой или заявкой,винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа
козловой кран 10 тонн цена,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,козловой кран грузоподъемностью 10 тонн,посадочная или каталог про козловые краны с моделями характеристиками ценой или заявкой,винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа
козловые краны для склада,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,складские козловые краны,посадочная или каталог про козловые краны с моделями характеристиками ценой или заявкой,винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа
заказать козловой кран с доставкой,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,заказ и доставка козлового крана,посадочная или каталог про козловые краны с моделями характеристиками ценой или заявкой,винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа
козловой кран бу купить,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,покупка б/у козлового крана,посадочная или каталог про козловые краны с моделями характеристиками ценой или заявкой,винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа
козловой кран монтаж,industrial_cranes,commercial,,,10,2,козловые краны и промышленное грузоподъемное оборудование,монтаж козлового крана,посадочная или каталог про козловые краны с моделями характеристиками ценой или заявкой,винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа
как выбрать козловой кран,industrial_cranes,informational,,,10,2,козловые краны и промышленное грузоподъемное оборудование,выбор козлового крана,посадочная или каталог про козловые краны с моделями характеристиками ценой или заявкой,винный магазин; ремонт квартир; общая главная без козловых кранов; статьи про птиц или строительные краны другого типа
ремонт квартир москва,apartment_renovation,commercial,Москва,213,10,2,ремонт квартир под ключ,ремонт квартир в Москве,страница услуги ремонта квартир с видами работ ценами портфолио сроками и заявкой,продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта
ремонт квартир под ключ цена,apartment_renovation,commercial,,,10,2,ремонт квартир под ключ,стоимость ремонта квартиры под ключ,страница услуги ремонта квартир с видами работ ценами портфолио сроками и заявкой,продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта
капитальный ремонт квартиры москва,apartment_renovation,commercial,Москва,213,10,2,ремонт квартир под ключ,капитальный ремонт квартиры,страница услуги ремонта квартир с видами работ ценами портфолио сроками и заявкой,продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта
дизайнерский ремонт квартиры,apartment_renovation,commercial,,,10,2,ремонт квартир под ключ,дизайнерский ремонт квартиры,страница услуги ремонта квартир с видами работ ценами портфолио сроками и заявкой,продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта
ремонт однокомнатной квартиры цена,apartment_renovation,commercial,,,10,2,ремонт квартир под ключ,ремонт однокомнатной квартиры,страница услуги ремонта квартир с видами работ ценами портфолио сроками и заявкой,продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта
ремонт квартиры в новостройке,apartment_renovation,commercial,,,10,2,ремонт квартир под ключ,ремонт квартиры в новостройке,страница услуги ремонта квартир с видами работ ценами портфолио сроками и заявкой,продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта
ремонт ванной комнаты под ключ,apartment_renovation,commercial,,,10,2,ремонт квартир под ключ,ремонт ванной комнаты,страница услуги ремонта квартир с видами работ ценами портфолио сроками и заявкой,продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта
бригада для ремонта квартиры,apartment_renovation,commercial,,,10,2,ремонт квартир под ключ,бригада ремонта квартиры,страница услуги ремонта квартир с видами работ ценами портфолио сроками и заявкой,продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта
ремонт квартир отзывы,apartment_renovation,comparison,,,10,2,ремонт квартир под ключ,отзывы о ремонте квартир,страница услуги ремонта квартир с видами работ ценами портфолио сроками и заявкой,продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта
как выбрать компанию по ремонту квартир,apartment_renovation,informational,,,10,2,ремонт квартир под ключ,выбор ремонтной компании,страница услуги ремонта квартир с видами работ ценами портфолио сроками и заявкой,продажа квартир; мебельный магазин; блог без услуги; ремонт техники; строительные материалы без услуги ремонта
натяжные потолки москва,stretch_ceilings,commercial,Москва,213,10,2,натяжные потолки,натяжные потолки в Москве,страница установки натяжных потолков с материалами расчетом стоимости примерами и замером,ремонт крыши; светильники без потолков; потолочная плитка; общая отделка без натяжных потолков
натяжной потолок цена за м2,stretch_ceilings,commercial,,,10,2,натяжные потолки,цена натяжного потолка за квадратный метр,страница установки натяжных потолков с материалами расчетом стоимости примерами и замером,ремонт крыши; светильники без потолков; потолочная плитка; общая отделка без натяжных потолков
