query,category,intent,city,region_code,url,domain,rank,serp_page,title,snippet,page_type,fetch_status,fetch_error,target_score,text_length_chars,html_length_chars,word_count,unique_word_count,unique_word_ratio,avg_word_length,sentence_count,avg_sentence_length,paragraph_count,h1_count,h2_count,h3_count,heading_count,title_present,title_length,meta_description_present,meta_description_length,query_in_title,query_in_text,exact_query_count,query_term_count,title_query_term_count,meta_query_term_count,title_keyword_coverage_ratio,meta_keyword_coverage_ratio,query_terms_in_headings,heading_query_coverage_ratio,first_200_words_query_term_count,query_density,keyword_coverage_ratio,link_count,image_count,list_item_count,strong_tag_count,form_count,input_count,inputs_per_form_ratio,avg_paragraph_length,link_density_per_1000_words,image_density_per_1000_words,list_density_per_1000_words,strong_density_per_1000_words,text_to_html_ratio,semantic_similarity,early_query_coverage_ratio,conversion_signal_score,content_link_ratio,heading_paragraph_balance,query_semantic_alignment,title_semantic_alignment,heading_semantic_alignment,title_heading_keyword_alignment,content_depth_semantic_score,query_prominence_score,title_length_quality,meta_length_quality,keyword_balance_score,semantic_content_richness,cta_semantic_score
натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://rumexpert.ru/,rumexpert.ru,1,0,,,homepage,ok,,100.0,15864.0,181340.0,2170.0,877.0,0.404147465437788,6.1922,102.0,21.2745,303.0,7.0,19.0,25.0,51.0,1.0,84.0,1.0,255.0,1.0,1.0,1.0,51.0,3.0,2.0,1.0,0.666667,26.0,0.666667,6.0,0.023502,1.0,216.0,237.0,46.0,0.0,4.0,41.0,10.25,7.1617,99.539171,109.21659,21.198157,0.0,0.087482,0.52558,1.0,1.0,10.046296,0.168317,0.52558,0.52558,0.350387,0.666667,0.52558,0.916667,0.472727,0.241379,0.78341,0.212412,0.52558
натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://potolok24moscow.ru/,potolok24moscow.ru,2,0,,,homepage,ok,,88.8889,10587.0,343432.0,1516.0,545.0,0.35949868073878627,5.7757,36.0,42.1111,20.0,5.0,0.0,2.0,7.0,1.0,65.0,1.0,127.0,0.0,0.0,0.0,64.0,2.0,0.0,0.666667,0.0,6.0,0.666667,26.0,0.042216,0.666667,65.0,60.0,106.0,7.0,3.0,70.0,23.333333,75.8,42.875989,39.577836,69.920844,4.617414,0.030827,0.67867,1.0,1.0,23.323077,0.35,0.452447,0.452447,0.452447,0.444444,0.67867,0.75,0.818182,0.875862,0.395192,0.205486,0.67867
натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://potolki-nova.ru/,potolki-nova.ru,3,0,,,homepage,ok,,77.7778,22903.0,311995.0,3393.0,1180.0,0.3477748305334512,5.6351,130.0,26.1,25.0,1.0,4.0,3.0,8.0,1.0,49.0,1.0,256.0,0.0,1.0,2.0,113.0,2.0,3.0,0.666667,1.0,9.0,1.0,12.0,0.033304,1.0,635.0,272.0,439.0,124.0,8.0,27.0,3.375,135.72,187.150015,80.165046,129.384026,36.54583,0.073408,0.59931,1.0,1.0,5.343307,0.32,0.59931,0.39954,0.59931,0.666667,0.59931,0.883333,0.890909,0.234483,0.889871,0.208425,0.59931
натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://www.potolkoff.ru/,potolkoff.ru,4,0,,,homepage,ok,,66.6667,45149.0,698104.0,6480.0,1547.0,0.23873456790123457,5.7386,605.0,10.7107,288.0,1.0,16.0,2.0,19.0,1.0,74.0,1.0,292.0,0.0,1.0,2.0,171.0,2.0,2.0,0.666667,0.666667,7.0,0.666667,5.0,0.026389,1.0,724.0,368.0,562.0,21.0,10.0,103.0,10.3,22.5,111.728395,56.790123,86.728395,3.240741,0.064674,0.511851,1.0,1.0,8.950276,0.065972,0.511851,0.341234,0.341234,0.444444,0.511851,0.8,0.654545,0.0,0.87963,0.122197,0.511851
натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://7nebo-nf.ru/,7nebo-nf.ru,5,0,,,homepage,ok,,55.5556,17321.0,338808.0,2538.0,815.0,0.3211189913317573,5.6962,153.0,16.5882,22.0,1.0,10.0,9.0,20.0,1.0,115.0,1.0,150.0,0.0,0.0,0.0,33.0,2.0,2.0,0.666667,0.666667,6.0,0.666667,5.0,0.013002,1.0,444.0,149.0,379.0,0.0,7.0,72.0,10.285714,115.3636,174.940898,58.707644,149.330181,0.0,0.051123,0.619515,1.0,1.0,5.716216,0.909091,0.619515,0.41301,0.41301,0.444444,0.619515,0.8,0.0,0.965517,0.433412,0.198938,0.619515
натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://dokapotolok.ru/,dokapotolok.ru,6,0,,,homepage,ok,,44.4444,488.0,165415.0,77.0,12.0,0.15584415584415584,5.3117,6.0,12.8333,1.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,883.116883,0.0,0.0,0.0,0.00295,0.030695,0.0,0.0,1.132353,0.0,0.0,0.0,0.0,0.0,0.001576,0.0,0.436364,0.0,0.0,0.000205,0.0
натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://100potolkov.ru/,100potolkov.ru,8,0,,,homepage,ok,,22.2222,20168.0,183897.0,3140.0,1069.0,0.34044585987261144,5.2783,182.0,17.2527,37.0,1.0,14.0,0.0,15.0,1.0,74.0,1.0,148.0,0.0,0.0,0.0,91.0,2.0,2.0,0.666667,0.666667,2.0,0.666667,3.0,0.028981,1.0,499.0,86.0,383.0,4.0,2.0,27.0,13.5,84.8649,158.917197,27.388535,121.974522,1.273885,0.10967,0.609451,1.0,1.0,6.292585,0.405405,0.609451,0.406301,0.406301,0.444444,0.609451,0.8,0.654545,0.97931,0.96603,0.207485,0.609451
натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://pro100-potolok.ru/,pro100-potolok.ru,9,0,,,homepage,ok,,11.1111,6605.0,1302549.0,857.0,449.0,0.5239206534422404,6.5869,51.0,16.8039,133.0,1.0,3.0,0.0,4.0,1.0,63.0,1.0,245.0,0.0,0.0,0.0,53.0,2.0,2.0,0.666667,0.666667,2.0,0.666667,32.0,0.061844,1.0,343.0,144.0,187.0,61.0,11.0,73.0,6.636364,6.4436,400.233372,168.028005,218.203034,71.17853,0.005071,0.595144,1.0,1.0,2.498542,0.030075,0.595144,0.396763,0.396763,0.444444,0.340026,0.8,0.854545,0.310345,0.0,0.148455,0.595144
натяжные потолки Москва,натяжные потолки,commercial,Москва,213,https://deutsch-design.ru/,deutsch-design.ru,10,0,,,homepage,ok,,0.0,16861.0,106401.0,2282.0,1172.0,0.5135845749342682,6.1989,194.0,11.7629,59.0,1.0,11.0,7.0,19.0,1.0,42.0,1.0,274.0,1.0,1.0,1.0,29.0,3.0,2.0,1.0,0.666667,2.0,0.666667,9.0,0.012708,1.0,67.0,105.0,25.0,36.0,0.0,42.0,0.0,38.678,29.36021,46.01227,10.955302,15.775635,0.158467,0.571577,1.0,0.75,34.059701,0.322034,0.571577,0.571577,0.381051,0.666667,0.571577,0.916667,0.763636,0.110345,0.423605,0.293553,0.428683
натяжные потолки Санкт-Петербург,натяжные потолки,commercial,Санкт-Петербург,2,https://potolok-peter.ru/,potolok-peter.ru,1,0,,,homepage,ok,,100.0,9815.0,527281.0,1431.0,529.0,0.3696715583508036,5.7247,61.0,23.459,97.0,1.0,12.0,8.0,21.0,1.0,55.0,1.0,176.0,0.0,0.0,0.0,79.0,3.0,4.0,0.5,0.75,3.0,0.5,30.0,0.055206,0.75,289.0,80.0,240.0,4.0,3.0,131.0,43.666667,14.7526,201.956674,55.904962,167.714885,2.795248,0.018614,0.440903,1.0,1.0,4.951557,0.216495,0.330677,0.220451,0.220451,0.25,0.420621,0.6625,1.0,0.786207,0.119846,0.129576,0.440903
натяжные потолки Санкт-Петербург,натяжные потолки,commercial,Санкт-Петербург,2,https://evita-potolki.ru/,evita-potolki.ru,2,0,,,homepage,ok,,88.8889,24559.0,973617.0,3391.0,1271.0,0.37481568858743736,5.9646,252.0,13.4563,58.0,1.0,42.0,33.0,76.0,1.0,60.0,1.0,153.0,0.0,1.0,1.0,110.0,2.0,1.0,0.5,0.25,37.0,0.75,32.0,0.032439,1.0,252.0,92.0,155.0,37.0,4.0,24.0,6.0,58.4655,74.314362,27.13064,45.70923,10.911236,0.025224,0.461364,1.0,1.0,13.456349,1.310345,0.461364,0.230682,0.346023,0.375,0.461364,0.7625,0.909091,0.944828,0.918706,0.172926,0.461364
натяжные потолки Санкт-Петербург,натяжные потолки,commercial,Санкт-Петербург,2,https://potolkilider.ru/,potolkilider.ru,3,0,,,homepage,ok,,77.7778,26724.0,326053.0,3901.0,1404.0,0.35990771597026405,5.5673,306.0,12.7484,210.0,1.0,22.0,17.0,40.0,1.0,143.0,1.0,195.0,0.0,0.0,0.0,103.0,4.0,3.0,0.5,0.75,15.0,0.75,23.0,0.026403,1.0,502.0,176.0,430.0,17.0,17.0,179.0,10.529412,18.5762,128.684953,45.116637,110.228147,4.357857,0.081962,0.514608,1.0,1.0,7.770916,0.190476,0.514608,0.257304,0.385956,0.375,0.514608,0.7625,0.0,0.655172,0.880116,0.185211,0.514608
натяжные потолки Санкт-Петербург,натяжные потолки,commercial,Санкт-Петербург,2,https://potolki-sankt-peterburg.ru/,potolki-sankt-peterburg.ru,4,0,,,homepage,ok,,66.6667,12646.0,1109199.0,1762.0,744.0,0.42224744608399545,6.0023,95.0,18.5474,68.0,1.0,12.0,9.0,22.0,1.0,68.0,1.0,112.0,0.0,0.0,0.0,93.0,2.0,3.0,0.5,0.75,14.0,0.75,2.0,0.052781,0.75,245.0,21.0,138.0,1.0,4.0,28.0,7.0,25.9118,139.046538,11.918275,78.320091,0.567537,0.011401,0.285703,0.5,1.0,7.191837,0.323529,0.214277,0.142851,0.214277,0.375,0.285703,0.6,0.763636,0.772414,0.180477,0.118091,0.285703
