query,category,intent,city,region_code,top_n,pages_to_scan
ремонт квартир москва,ремонт квартир,commercial,москва,213,10,1
ремонт квартир санкт-петербург,ремонт квартир,commercial,санкт-петербург,2,10,1
ремонт квартир екатеринбург,ремонт квартир,commercial,екатеринбург,54,10,1
ремонт квартир новосибирск,ремонт квартир,commercial,новосибирск,65,10,1
ремонт квартир казань,ремонт квартир,commercial,казань,43,10,1
ремонт квартир краснодар,ремонт квартир,commercial,краснодар,35,10,1
ремонт квартир самара,ремонт квартир,commercial,самара,51,10,1
ремонт квартир нижний новгород,ремонт квартир,commercial,нижний новгород,47,10,1
ремонт кухни москва,ремонт кухни,commercial,москва,213,10,1
ремонт кухни санкт-петербург,ремонт кухни,commercial,санкт-петербург,2,10,1
ремонт кухни екатеринбург,ремонт кухни,commercial,екатеринбург,54,10,1
ремонт кухни новосибирск,ремонт кухни,commercial,новосибирск,65,10,1
ремонт кухни казань,ремонт кухни,commercial,казань,43,10,1
ремонт кухни краснодар,ремонт кухни,commercial,краснодар,35,10,1
ремонт кухни самара,ремонт кухни,commercial,самара,51,10,1
ремонт кухни нижний новгород,ремонт кухни,commercial,нижний новгород,47,10,1
ремонт ванной москва,ремонт ванной,commercial,москва,213,10,1
ремонт ванной санкт-петербург,ремонт ванной,commercial,санкт-петербург,2,10,1
ремонт ванной екатеринбург,ремонт ванной,commercial,екатеринбург,54,10,1
ремонт ванной новосибирск,ремонт ванной,commercial,новосибирск,65,10,1
ремонт ванной казань,ремонт ванной,commercial,казань,43,10,1
ремонт ванной краснодар,ремонт ванной,commercial,краснодар,35,10,1
ремонт ванной самара,ремонт ванной,commercial,самара,51,10,1
ремонт ванной нижний новгород,ремонт ванной,commercial,нижний новгород,47,10,1
натяжные потолки москва,натяжные потолки,commercial,москва,213,10,1
натяжные потолки санкт-петербург,натяжные потолки,commercial,санкт-петербург,2,10,1
натяжные потолки екатеринбург,натяжные потолки,commercial,екатеринбург,54,10,1
натяжные потолки новосибирск,натяжные потолки,commercial,новосибирск,65,10,1
натяжные потолки казань,натяжные потолки,commercial,казань,43,10,1
натяжные потолки краснодар,натяжные потолки,commercial,краснодар,35,10,1
натяжные потолки самара,натяжные потолки,commercial,самара,51,10,1
натяжные потолки нижний новгород,натяжные потолки,commercial,нижний новгород,47,10,1
пластиковые окна москва,пластиковые окна,commercial,москва,213,10,1
пластиковые окна санкт-петербург,пластиковые окна,commercial,санкт-петербург,2,10,1
пластиковые окна екатеринбург,пластиковые окна,commercial,екатеринбург,54,10,1
пластиковые окна новосибирск,пластиковые окна,commercial,новосибирск,65,10,1
пластиковые окна казань,пластиковые окна,commercial,казань,43,10,1
пластиковые окна краснодар,пластиковые окна,commercial,краснодар,35,10,1
пластиковые окна самара,пластиковые окна,commercial,самара,51,10,1
пластиковые окна нижний новгород,пластиковые окна,commercial,нижний новгород,47,10,1
установка входных дверей москва,установка входных дверей,commercial,москва,213,10,1
установка входных дверей санкт-петербург,установка входных дверей,commercial,санкт-петербург,2,10,1
установка входных дверей екатеринбург,установка входных дверей,commercial,екатеринбург,54,10,1
установка входных дверей новосибирск,установка входных дверей,commercial,новосибирск,65,10,1
